property	data_object	requirement	id	title	data_type	default	examples	pattern	constraint
id_method	biosampleMeta_HIVE.tsv	optional	#root/identification_method	identification_method	string	-	RT-PCR and Amplicon Sequencing|Phenotypic and Molecular Methods	^.*$	N/A
biosample_score	biosampleMeta_HIVE.tsv	optional	#root/biosample_score	biosample_score	int	-	33	^[0-9]+$	1-200
organism_name	ngsQC_HIVE.tsv 	required	#root/organism_name	organism_name	string	-	Severe acute respiratory syndrome coronavirus 2	^([A-Za-z0-9]+( [A-Za-z0-9]+)+)$	N/A
infraspecific_name	ngsQC_HIVE.tsv 	optional	#root/infraspecific_name	infraspecific_name	string	-	isolate Wuhan-Hu-1	^([A-Za-z0-9]+( [A-Za-z0-9]+)+)$	N/A
lineage	ngsQC_HIVE.tsv 	optional	#root/lineage	lineage	string	-	Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus|Severe acute respiratory syndrome-related coronavirus	^.*$	N/A
genome_assembly_id	ngsQC_HIVE.tsv 	required	#root/genome_assembly_id	genome_assembly_id	string	-	GCA_009858895.3	^.*$	N/A
taxonomy_id	ngsQC_HIVE.tsv 	required	#root/taxonomy_id	taxonomy_id	int	-	2697049	^[0-9]+$	N/A
bco_id	ngsQC_HIVE.tsv 	required	#root/bco_id	bco_id	string	-	ARGOS_000019	^.*$	N/A
schema_version	ngsQC_HIVE.tsv 	required	#root/schema_version	schema_version	string	-	v0.9	^.*$	N/A
analysis_platform	ngsQC_HIVE.tsv 	required	#root/analysis_platform	analysis_platform	string	-	HIVE 1 | HIVE 2 | HIVE AWS | Galaxy	^.*$	N/A
analysis_platform_object_id	ngsQC_HIVE.tsv 	optional	#root/analysis_platform_object_id	analysis_platform_object_id	string	-	39658	^[0-9]+$	43172-43172
bioproject	ngsQC_HIVE.tsv 	required	#root/bioproject	bioproject	string	-	PRJNA603194	^[A-Za-z0-9]+$	N/A
biosample	ngsQC_HIVE.tsv 	required	#root/biosample	biosample	string	-	SAMN13922059	^[A-Za-z0-9]+$	N/A
strain	ngsQC_HIVE.tsv 	optional	#root/strain	strain	string	-	FDAARGOS_94	^.*$	N/A
sra_run_id	ngsQC_HIVE.tsv 	required	#root/sra_run_id	sra_run_id	string	-	SRR10971381	^[A-Za-z0-9]+$	N/A
ngs_read_file_name	ngsQC_HIVE.tsv 	required	#root/ngs_read_file_name	ngs_read_file_name	string	-	SRR10971381_1.fastq	^.*$	N/A
ngs_read_file_source	ngsQC_HIVE.tsv 	required	#root/ngs_read_file_source	ngs_read_file_source	string	-	SRA	^[A-Za-z]+$	N/A
ngs_gc_content	ngsQC_HIVE.tsv 	required	#root/ngs_gc_content	ngs_gc_content	float	-	51.4	^[0-9]*\.[0-9]+$	0.0-1.0
avg_phred_score	ngsQC_HIVE.tsv 	required	#root/avg_phred_score	avg_phred_score	float	-	33.5807	^[0-9]*\.[0-9]+$	0.0-1000.0
avg_read_length	ngsQC_HIVE.tsv 	required	#root/avg_read_length	avg_read_length	float	-	138.6775	^[0-9]*\.[0-9]+$	0.0-10000.0
max_read_length	ngsQC_HIVE.tsv 	required	#root/max_read_length	max_read_length	int	-	151	^[0-9]+$	0-100000
min_read_length	ngsQC_HIVE.tsv 	required	#root/min_read_length	min_read_length	int	-	1	^[0-9]+$	0-10000
num_reads_unique	ngsQC_HIVE.tsv 	optional	#root/num_reads_unique	num_reads_unique	int	-	NA	^[0-9]+$	0-100000000
pos_outlier_count	ngsQC_HIVE.tsv 	optional	#root/pos_outlier_count	pos_outlier_count	int	-	0	^[0-9]+$	0-100000
codon_table	ngsQC_HIVE.tsv 	optional	#root/codon_table	codon_table	string	-	"Standard|Vertebrate Mitochondrial|Yeast Mitochondrial|Mold,Protozoan and Coelenterate Mitochondrial and Mycoplasma/Spiroplasma|Invertebrate Mitochonrial|Ciliate, Dasycladacean and Hexamita Nuclear|Echinoderm and Flatworm Mitochondrial|Euplotid Nuclear|Bacterial, Archael and Plant Plastid|Alternative Yeast Nuclear|Ascidian Mitochondrial|Alternative Flatworm Mitochondrial|Chlorophycean Mitochondrial|Trematode Mitochondrial|Scenedesmus Obliquus Mitochondrial|Thraustochytrium Mitochondrial|Pterobranchia Mitochondrial|Candidate Division SR1 and Gracilibacteria|Pachysolen tannophilus Nuclear"	^.*$	N/A
percent_coding	ngsQC_HIVE.tsv 	optional	#root/percent_coding	percent_coding	string	-	0.84|0.71|0.93|0.93|0.93|1.0|0.93|0.93|0.84|0.84|0.93|1.0|0.91|0.93|0.28|0.84|0.93|0.93|0.84	^([0-9]*\.[0-9]+(\|[0-9]*\.[0-9]+)+)$	N/A
percent_not_coding	ngsQC_HIVE.tsv 	optional	#root/percent_not_coding	percent_not_coding	string	-	0.16|0.29|0.07|0.07|0.07|0.0|0.07|0.07|0.16|0.16|0.07|0.0|0.09|0.07|0.72|0.16|0.07|0.07|0.16	^([0-9]*\.[0-9]+(\|[0-9]*\.[0-9]+)+)$	N/A
density_n_per_read	ngsQC_HIVE.tsv 	optional	#root/density_n_per_read	density_n_per_read	string	-	0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|33|100	^([0-9]+(\|[0-9]+)+)$	N/A
complexity_percent	ngsQC_HIVE.tsv 	optional	#root/complexity_percent	complexity_percent	float	-	94	^[0-9]+$	0.0-100.0
non_complex_percent	ngsQC_HIVE.tsv 	optional	#root/non_complex_percent	non_complex_percent	float	-	6	^[0-9]+$	0.0-100.0
avg_quality_a	ngsQC_HIVE.tsv 	optional	#root/avg_quality_a	avg_quality_a	float	-	32.095	^[0-9]*\.[0-9]+$	0.0-1000.0
avg_quality_t	ngsQC_HIVE.tsv 	optional	#root/avg_quality_t	avg_quality_t	float	-	33.988	^[0-9]*\.[0-9]+$	0.0-1000.0
avg_quality_g	ngsQC_HIVE.tsv 	optional	#root/avg_quality_g	avg_quality_g	float	-	33.911	^[0-9]*\.[0-9]+$	0.0-1000.0
avg_quality_c	ngsQC_HIVE.tsv 	optional	#root/avg_quality_c	avg_quality_c	float	-	34.093	^[0-9]*\.[0-9]+$	0.0-1000.0
count_a	ngsQC_HIVE.tsv 	optional	#root/count_a	count_a	int	-	442689195	^[0-9]+$	0-1000000000
count_t	ngsQC_HIVE.tsv 	optional	#root/count_t	count_t	int	-	524276679	^[0-9]+$	0-1000000000
count_g	ngsQC_HIVE.tsv 	optional	#root/count_g	count_g	int	-	437991224	^[0-9]+$	0-1000000000
count_c	ngsQC_HIVE.tsv 	optional	#root/count_c	count_c	int	-	584757437	^[0-9]+$	0-1000000000
instrument	ngsQC_HIVE.tsv 	required	#root/instrument	instrument	string	-	Illumina MiniSeq	^.*$	N/A
id_method	ngsQC_HIVE.tsv 	optional	#root/id_method	id_method	string	-	Viral RNA | Culture | Phenotypic Identification	^.*$	N/A
wgs_accession	ngsQC_HIVE.tsv 	optional	#root/wgs_accession	wgs_accession	string	-	NJFG00000000	^.*$	N/A
strategy	ngsQC_HIVE.tsv 	optional	#root/strategy	strategy	string	-	RNA-Seq	^.*$	N/A
ngs_score	ngsQC_HIVE.tsv 	optional	#root/ngs_score	ngs_score	int	-	20	^[0-9]+$	1-200
organism_name	siteQC_HIVE.tsv	required	#root/organism_name	organism_name	string	-	Severe acute respiratory syndrome coronavirus 2	^([A-Za-z0-9]+( [A-Za-z0-9]+)+)$	N/A
infraspecific_name	siteQC_HIVE.tsv	optional	#root/infraspecific_name	infraspecific_name	string	-	isolate Wuhan-Hu-1	^([A-Za-z0-9]+( [A-Za-z0-9]+)+)$	N/A
lineage	siteQC_HIVE.tsv	optional	#root/lineage	lineage	string	-	Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus|Severe acute respiratory syndrome-related coronavirus	^.*$	N/A
taxonomy_id	siteQC_HIVE.tsv	required	#root/taxonomy_id	taxonomy_id	string	-	2697049	^[0-9]+$	N/A
bco_id	siteQC_HIVE.tsv	required	#root/bco_id	bco_id	string	-	ARGOS_000011	^.*$	N/A
schema_version	siteQC_HIVE.tsv	required	#root/schema_version	schema_version	string	-	v0.9	^.*$	N/A
analysis_platform	siteQC_HIVE.tsv	required	#root/analysis_platform	analysis_platform	string	-	HIVE 1 | HIVE 2 | HIVE AWS | Galaxy	^.*$	N/A
analysis_platform_object_id	siteQC_HIVE.tsv	optional	#root/analysis_platform_object_id	analysis_platform_object_id	string	-	39658	^[0-9]+$	43172-43172
bioproject	siteQC_HIVE.tsv	optional	#root/bioproject	bioproject	string	-	PRJNA603194	^[A-Za-z0-9]+$	N/A
biosample	siteQC_HIVE.tsv	optional	#root/biosample	biosample	string	-	SAMN13922059	^[A-Za-z0-9]+$	N/A
sra_run_id	siteQC_HIVE.tsv	required	#root/sra_run_id	sra_run_id	string	-	SRR10971381	^[A-Za-z0-9]+$	N/A
ngs_read_file_name	siteQC_HIVE.tsv	required	#root/ngs_read_file_name	ngs_read_file_name	string	-	SRR10971381_1.fastq	^.*$	N/A
ngs_read_file_source	siteQC_HIVE.tsv	required	#root/ngs_read_file_source	ngs_read_file_source	string	-	SRA	^[A-Za-z]+$	N/A
genome_assembly_id	siteQC_HIVE.tsv	required	#root/genome_assembly_id	genome_assembly_id	string	-	GCA_001558355.2	^.*$	N/A
ref_genome_acc	siteQC_HIVE.tsv	required	#root/ref_genome_acc	ref_genome_acc	string	-	NC_002023	^.*$	N/A
genomic_coordinates_start	siteQC_HIVE.tsv	optional	#root/genomic_coordinate_start	genomic_coordinate_start	string	-	23063	^[0-9]+$	N/A
genomic_coordinates_end	siteQC_HIVE.tsv	optional	#root/genomic_coordinates_end	genomic_coordinates_end	int	-	23063	^[0-9]+$	1-100000
protein_coordinates_start	siteQC_HIVE.tsv	optional	#root/protein_coordinates_start	protein_coordinates_start	int	-	501	^[0-9]+$	N/A
protein_coordinates_end	siteQC_HIVE.tsv	optional	#root/protein_coordinates_end	protein_coordinates_end	int	-	502	^[0-9]+$	N/A
seq_feature_tag	siteQC_HIVE.tsv	optional	#root/seq_feature_tag	seq_feature_tag	string	-	NA	^.*$	N/A
seq_feature_value	siteQC_HIVE.tsv	optional	#root/seq_feature_value	seq_feature_value	string	-	NA	^.*$	N/A
wt_nucleotide	siteQC_HIVE.tsv	required	#root/wt_nucleotide	wt_nucleotide	string	-	A	^[A-Za-z]+$	N/A
alt_nucleotide	siteQC_HIVE.tsv	required	#root/alt_nucleotide	alt_nucleotide	string	-	T	^[A-Za-z]+$	N/A
wt_codon	siteQC_HIVE.tsv	required	#root/wt_codon	wt_codon	string	-	AAT	^[A-Za-z]+$	N/A
alt_codon	siteQC_HIVE.tsv	required	#root/alt_codon	alt_codon	string	-	TAT	^[A-Za-z]+$	N/A
wt_amino_acid	siteQC_HIVE.tsv	required	#root/wt_amino_acid	wt_amino_acid	string	-	N	^[A-Za-z]+$	N/A
alt_amino_acid	siteQC_HIVE.tsv	required	#root/alt_amino_acid	alt_amino_acid	string	-	Y	^[A-Za-z]+$	N/A
annotation	siteQC_HIVE.tsv	required	#root/annotation	annotation	string	-	Enhanced Infectivity Mutation	^([A-Za-z0-9]+( [A-Za-z0-9]+)+)$	N/A
read_coverage	siteQC_HIVE.tsv	required	#root/read_coverage	read_coverage	int	-	691	^[0-9]+$	1-100000
frequency	siteQC_HIVE.tsv	required	#root/frequency	frequency	float	-	0.9986	^[0-9]*\.[0-9]+$	0.0-100.0
protein_accession	siteQC_HIVE.tsv	optional	#root/protein_accession	protein_accession	string	-	YP_009724390.1	^.*$	N/A
count_major_mutations	siteQC_HIVE.tsv	optional	#root/count_major_mutations	count_major_mutations	int	-	NA	^.*$	0-100000
count_major_indels	siteQC_HIVE.tsv	optional	#root/count_major_indels	count_major_indels	int	-	NA	^.*$	0-100000
site_score	siteQC_HIVE.tsv	optional	#root/site_score	site_score	int	-	33	^[0-9]+$	1-200
organism_name	assemblyQC_NCBI.tsv	required	#root/organism_name	organism_name	string	-	Severe acute respiratory syndrome coronavirus 2	^([A-Za-z0-9]+( [A-Za-z0-9]+)+)$	N/A
infraspecific_name	assemblyQC_NCBI.tsv	optional	#root/infraspecific_name	infraspecific_name	string	-	isolate Wuhan-Hu-1	^([A-Za-z0-9]+( [A-Za-z0-9]+)+)$	N/A
lineage	assemblyQC_NCBI.tsv	required	#root/lineage	lineage	string	-	Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus|Severe acute respiratory syndrome-related coronavirus	^.*$	N/A
assembled_genome_acc	assemblyQC_NCBI.tsv	required	#root/assembled_genome_acc	assembled_genome_acc	string	-	ARG_000001	^.*$	N/A
genome_assembly_id	assemblyQC_NCBI.tsv	required	#root/genome_assembly_id	genome_assembly_id	string	-	GCA_009858895.3	^.*$	N/A
taxonomy_id	assemblyQC_NCBI.tsv	required	#root/taxonomy_id	taxonomy_id	int	-	2697049	^[0-9]+$	N/A
bco_id	assemblyQC_NCBI.tsv	required	#root/bco_id	bco_id	string	-	ARGOS_000012	^.*$	N/A
schema_version	assemblyQC_NCBI.tsv	required	#root/schema_version	schema_version	string	-	v0.9	^.*$	N/A
analysis_platform	assemblyQC_NCBI.tsv	required	#root/analysis_platform	analysis_platform	string	-	HIVE 1 | HIVE 2 | HIVE AWS | Galaxy	^.*$	N/A
analysis_platform_object_id	assemblyQC_NCBI.tsv	optional	#root/analysis_platform_object_id	analysis_platform_object_id	string	-	39658	^[0-9]+$	NA
assembly_file_source	assemblyQC_NCBI.tsv	required	#root/assembly_file_source	assembly_file_source	string	-	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/102/975/GCA_003102975.1_ASM310297v1/	^.*$	N/A
genomic_section	assemblyQC_NCBI.tsv	required	#root/genomic_section	genomic_section	string		PB2	^[A-Za-z0-9]+$	N/A
num_chromosomes	assemblyQC_NCBI.tsv	optional	#root/num_chromosomes	num_chromosomes	int	-	8	^[0-9]+$	1-100
num_genes	assemblyQC_NCBI.tsv	optional	#root/num_genes	num_genes	int	-	9	^[0-9]+$	1-1000000
num_segments 	assemblyQC_NCBI.tsv	optional	#root/num_segments 	num_segments 	int	-	10	^[0-9]+$	1-100000
assembly_gc_content	assemblyQC_NCBI.tsv	required	#root/assembly_gc_content	assembly_gc_content	float	-	29.903	^[0-9]*\.[0-9]+$	0.0-1.0
length	assemblyQC_NCBI.tsv	optional	#root/length	length	int	-	13588	^[0-9]+$	0-1000000000
num_of_frameshifts	assemblyQC_NCBI.tsv	optional	#root/num_of_frameshifts	num_of_frameshifts	int	-	1	^[0-9]+$	1-1000
num_of_stop_codons	assemblyQC_NCBI.tsv	optional	#root/num_of_stop_codons	num_of_stop_codons	int	-	1	^[0-9]+$	1-1000
genome_coverage	assemblyQC_NCBI.tsv	optional	#root/genome_coverage	genome_coverage	float	-	94.45	^[0-9]*\.[0-9]+$	0.0-100.0
n50 	assemblyQC_NCBI.tsv	optional	#root/n50	n50	int	-	2233	^[0-9]+$	0-100000
n75	assemblyQC_NCBI.tsv	optional	#root/n75	n75	int	-	1565	^[0-9]+$	0-100000
n90	assemblyQC_NCBI.tsv	optional	#root/n90	n90	int	-	1027	^[0-9]+$	0-100000
l50 	assemblyQC_NCBI.tsv	optional	#root/l50	l50	int	-	3	^[0-9]+$	1-1000000
l75	assemblyQC_NCBI.tsv	optional	#root/l75	l75	int	-	5	^[0-9]+$	1-1000000
ref_genome_acc	assemblyQC_NCBI.tsv	required	#root/ref_genome_acc	ref_genome_acc	string	-	NC_002023	^.*$	N/A
query_coverage_against_reference	assemblyQC_NCBI.tsv	optional	#root/query_coverage_against_reference	query_coverage_against_reference	int	-	100	^[0-9]+$	1-100000
reference_coverage_against_query	assemblyQC_NCBI.tsv	optional	#root/reference_coverage_against_query	reference_coverage_against_query	int		100	^[0-9]+$	1-100001
percent_identity_against_reference	assemblyQC_NCBI.tsv	optional	#root/percent_identity_against_reference	percent_identity_against_reference	float	-	100	^[0-9]+$	0.0-100.0
percent_reads_unaligned	assemblyQC_NCBI.tsv	optional	#root/reads_unaligned	reads_unaligned	int	-	1570000	^[0-9]+$	0-100000000
assembly_type	assemblyQC_NCBI.tsv	optional	#root/assembly_type	assembly_type	string	-	Haploid 	^.*$	N/A
assembly_level	assemblyQC_NCBI.tsv	optional	#root/assembly_level	assembly_level	string	-	Complete Genome	^.*$	N/A
assembly_score	assemblyQC_NCBI.tsv	optional	#root/assembly_score	assembly_score	int	-	33	^[0-9]+$	1-200
organism_name	biosampleMeta_NCBI.tsv	required	#root/organism_name	organism_name	string	-	Severe acute respiratory syndrome coronavirus 2	^([A-Za-z0-9]+( [A-Za-z0-9]+)+)$	N/A
infraspecific_name	biosampleMeta_NCBI.tsv	optional	#root/infraspecific_name	infraspecific_name	string	-	isolate Wuhan-Hu-1	^([A-Za-z0-9]+( [A-Za-z0-9]+)+)$	N/A
lineage	biosampleMeta_NCBI.tsv	optional	#root/lineage	lineage	string	-	Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus|Severe acute respiratory syndrome-related coronavirus	^.*$	N/A
taxonomy_id	biosampleMeta_NCBI.tsv	required	#root/taxonomy_id	taxonomy_id	int	-	433733	^[0-9]+$	N/A
bco_id	biosampleMeta_NCBI.tsv	required	#root/bco_id	bco_id	string	-	ARGOS_000020	^.*$	N/A
schema_version	biosampleMeta_NCBI.tsv	required	#root/schema_version	schema_version	string	-	v0.9	^.*$	N/A
bioproject	biosampleMeta_NCBI.tsv	required	#root/bioproject	bioproject	string	-	PRJNA603194	^[A-Za-z0-9]+$	N/A
biosample	biosampleMeta_NCBI.tsv	required	#root/biosample	biosample	string	-	SAMN13922059	^[A-Za-z0-9]+$	N/A
strain	biosampleMeta_NCBI.tsv	optional	#root/strain	strain	string	-	FDAARGOS_94	^.*$	N/A
genome_assembly_id	biosampleMeta_NCBI.tsv	optional	#root/genome_assembly_id	genome_assembly_id	string	-	GCA_009858895.3	^.*$	N/A
sample_name	biosampleMeta_NCBI.tsv	optional	#root/sample_name	sample_name	string	-	human bronchoalveolar lavage fluid	^.*$	N/A
instrument	biosampleMeta_NCBI.tsv	optional	#root/instrument	instrument	string	-	Illumina MiniSeq	^.*$	N/A
isolate	biosampleMeta_NCBI.tsv	optional	#root/isolate	isolate	string	-	Monkeypox Virus/USA-2003	^.*$	N/A
collected_by	biosampleMeta_NCBI.tsv	optional	#root/collected_by	collected_by	string	-	Fudan University	^.*$	N/A
collection_date	biosampleMeta_NCBI.tsv	optional	#root/collection_date	collection_date	string	-	2/20/20	^.*$	N/A
geo_loc_name	biosampleMeta_NCBI.tsv	optional	#root/geo_loc_name	geo_loc_name	string	-	China: Wuhan	^.*$	N/A
isolation_source	biosampleMeta_NCBI.tsv	optional	#root/isolation_source	isolation_source	string	-	human lung metagenome	^.*$	N/A
lat_lon	biosampleMeta_NCBI.tsv	optional	#root/lat_lon	lat_lon	string	-	NA	^.*$	N/A
culture_collection	biosampleMeta_NCBI.tsv	optional	#root/culture_collection	culture_collection	string	-	FDA:FDAARGOS_855	^.*$	N/A
host	biosampleMeta_NCBI.tsv	optional	#root/host	host	string	-	9606	^.*$	N/A
