sra_experiment_id	sra_run_id	sra_project_id	sra_biosample_id	num_of_bases	file_size	published	source	strategy	layout	library_name	selection	instrument	file_type	reads_unaligned	identified_reads	taxonomy_id	lineage	percent_identified	gc_content
SRX12539349	SRR16259726	PRJNA231221	SAMN21218874	1783234201	450274839	10/9/21 3:37	GENOMIC	WGS	SINGLE	PL100169584-1	RANDOM	Sequel	bam	22017	173499	28080	Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter upsaliensis	0.88739029	0.361550096
SRX9402441	SRR12938957	PRJNA231221	SAMN16357326	3182376340	1056551481	10/30/20 0:08	GENOMIC	WGS	PAIRED	IL100156414	RANDOM	Illumina NovaSeq 6000	fastq	60264	10477406	1334	Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus dysgalactiae	0.994281089	0.390100511
SRX5098095	SRR8283300	PRJNA231221	SAMN10228584	1461869452	5007781028	12/5/18 17:12	GENOMIC	WGS	SINGLE	PL100092825-1	RANDOM	PacBio RS	pacbio_native	103375	60107	632	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia|Yersinia pestis	0.367667388	0.462557285
SRX6780573	SRR10045993	PRJNA231221	SAMN11077996	271520060	142656134	8/30/19 21:17	VIRAL RNA	WGS	PAIRED	IL100097724	cDNA	Illumina MiSeq	fastq	65481	385549	11620	Viruses|Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales|Arenaviridae|Mammarenavirus|Lassa mammarenavirus	0.85481897	0.438996699
SRX9619306	SRR13181259	PRJNA231221	SAMN16357335	2685218202	1221181118	12/2/20 10:32	GENOMIC	WGS	PAIRED	IL100142410	RANDOM	Illumina HiSeq 4000	fastq	3905565	4985886	161879	Bacteria|Actinobacteria|Corynebacteriales|Corynebacteriaceae|Corynebacterium|Corynebacterium kroppenstedtii	0.560750546	0.558707641
SRX9620796	SRR13182988	PRJNA231221	SAMN16357404	2345602967	592395953	12/2/20 13:23	GENOMIC	WGS	SINGLE	PL100141758-1	RANDOM	Sequel	bam	20849	262000	562	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Escherichia|Escherichia coli	0.926289292	0.498110706
SRX13306514	SRR17122011	PRJNA231221	SAMN23242881	6500252530	2162651791	12/3/21 17:56	GENOMIC	WGS	PAIRED	IL100206127	RANDOM	Illumina NovaSeq 6000	fastq	471946	21052069	1767	Bacteria|Actinobacteria|Corynebacteriales|Mycobacteriaceae|Mycobacterium|Mycobacterium avium complex (MAC)|Mycobacterium intracellulare	0.978073515	0.673352698
SRX12529009	SRR16249247	PRJNA231221	SAMN21218845	4601271094	1523982109	10/8/21 20:26	GENOMIC	WGS	PAIRED	IL100165817	RANDOM	Illumina NovaSeq 6000	fastq	191185	15044812	35703	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Citrobacter|Citrobacter amalonaticus	0.987451757	0.535618149
SRX12531030	SRR16251408	PRJNA231221	SAMN21218857	4106940884	1386533129	10/8/21 23:50	GENOMIC	WGS	PAIRED	IL100165798	RANDOM	Illumina NovaSeq 6000	fastq	65560	13533582	29391	Bacteria|Firmicutes|Bacilli|Bacillales|Bacillales Family XI. Incertae Sedis|Gemella|Gemella morbillorum	0.995179108	0.31069492
SRX12539354	SRR16259732	PRJNA231221	SAMN20888886	3342921352	1075539395	10/9/21 3:37	GENOMIC	WGS	PAIRED	IL100186121	RANDOM	Illumina NovaSeq 6000	fastq	16017	11053259	1496	Bacteria|Firmicutes|Clostridia|Eubacteriales|Peptostreptococcaceae|Clostridioides|Clostridioides difficile	0.998553022	0.300441434
SRX6403455	SRR9641612	PRJNA231221	SAMN11056496	425206677	108064057	7/3/19 14:13	GENOMIC	WGS	SINGLE	PL100098889-2	RANDOM	Sequel	pacbio_native	83526	77034	1396	Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus cereus group|Bacillus cereus	0.479783259	0.392278849
SRX5949261	SRR9176597	PRJNA231221	SAMN11056449	1372610866	4822242231	6/1/19 2:03	GENOMIC	WGS	SINGLE	PL100090546-1	RANDOM	PacBio RS	pacbio_native	104446	59036	95486	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Burkholderia|Burkholderia cepacia complex|Burkholderia cenocepacia	0.361116209	0.632320407
SRX12543043	SRR16263451	PRJNA231221	SAMN20888903	5105989500	1595380398	10/9/21 3:39	GENOMIC	WGS	PAIRED	IL100186148	RANDOM	Illumina NovaSeq 6000	fastq	27403	16879847	28133	Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella nigrescens	0.998379216	0.428279817
SRX11389717	SRR15079693	PRJNA231221	SAMN16357550	2073398350	524220104	7/8/21 22:05	GENOMIC	WGS	SINGLE	PL100156877-1	RANDOM	Sequel II	bam	68700	284122	2778057	Bacteria|Proteobacteria|Gammaproteobacteria|Aeromonadales|Aeromonadaceae|Aeromonas|Aeromonas sp. FDAARGOS 1408	0.805284251	0.598451298
SRX5944760	SRR9172097	PRJNA231221	SAMN11056425	1352709340	693856218	5/31/19 22:49	GENOMIC	WGS	PAIRED	IL100090610	RANDOM	Illumina HiSeq 4000	fastq	102152	4377018	28901	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Salmonella|Salmonella enterica	0.977193989	0.528032432
SRX9293865	SRR12826228	PRJNA231221	SAMN16357158	3809472696	1634773703	10/18/20 9:47	GENOMIC	WGS	PAIRED	IL100115795	RANDOM	Illumina HiSeq 4000	fastq	128897	12485251	33037	Bacteria|Firmicutes|Tissierellia|Tissierellales|Peptoniphilaceae|Anaerococcus|Anaerococcus vaginalis	0.989781553	0.305682975
SRX1384023	SRR2817465	PRJNA231221	SAMN03996325	1247937398	4682524634	10/26/15 17:06	GENOMIC	WGS	SINGLE	PL100045833-1	RANDOM	PacBio RS	pacbio_native	112172	51310	669	Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio|Vibrio harveyi	0.313857183	0.475454822
SRX6403451	SRR9641606	PRJNA231221	SAMN11056493	3739342860	1879072831	7/3/19 14:21	GENOMIC	WGS	PAIRED	IL100097522	RANDOM	Illumina HiSeq 4000	fastq	71841	12310089	1639	Bacteria|Firmicutes|Bacilli|Bacillales|Listeriaceae|Listeria|Listeria monocytogenes	0.994197916	0.385334265
SRX5949246	SRR9176583	PRJNA231221	SAMN11056452	2751914298	1186482276	6/1/19 2:03	GENOMIC	WGS	PAIRED	IL100091433	RANDOM	Illumina HiSeq 4000	fastq	125479	8986820	2545799	Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Capnocytophaga|unclassified Capnocytophaga|Capnocytophaga sp. FDAARGOS_737	0.98622971	0.397557073
SRX729756	SRR1609074	PRJNA231221	SAMN02934527	2236428658	1613025287	10/9/14 21:43	GENOMIC	WGS	PAIRED	IL100043682	RANDOM	Illumina HiSeq 2000	fastq	148623	10922806	648	Bacteria|Proteobacteria|Gammaproteobacteria|Aeromonadales|Aeromonadaceae|Aeromonas|Aeromonas caviae	0.986575988	0.611207779
SRX13318330	SRR17133875	PRJNA231221	SAMN22091677	9079815101	2291600113	12/5/21 4:15	GENOMIC	WGS	SINGLE	PL100189196-1	RANDOM	Sequel II	bam	76729	803475	387661	Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Tannerellaceae|Parabacteroides|Parabacteroides johnsonii	0.912828163	0.444060601
SRX9398987	SRR12935268	PRJNA231221	SAMN16357268	689575054	2526804146	10/29/20 16:26	GENOMIC	WGS	SINGLE	PL100132577-1	RANDOM	PacBio RS	pacbio_native	129880	33602	821	Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Phocaeicola|Phocaeicola vulgatus	0.205539448	0.418471856
SRX9620595	SRR13182787	PRJNA231221	SAMN16357396	2680414288	1335957328	12/2/20 12:36	GENOMIC	WGS	PAIRED	IL100148020	RANDOM	Illumina HiSeq 4000	fastq	30596	8844948	562	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Escherichia|Escherichia coli	0.996552775	0.50765008
SRX976555	SRR1950242	PRJNA231221	SAMN03255433	812078517	3060871744	5/12/15 13:12	GENOMIC	WGS	SINGLE	PL100041753-1	RANDOM	PacBio RS	pacbio_native	120471	43011	670	Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio|Vibrio parahaemolyticus	0.263093185	0.505847746
SRX12529046	SRR16249284	PRJNA231221	SAMN21218843	4671881085	1179021758	10/8/21 20:39	GENOMIC	WGS	SINGLE	PL100164144-1	RANDOM	Sequel	bam	37441	382149	70346	Bacteria|Proteobacteria|Gammaproteobacteria|Moraxellales|Moraxellaceae|Acinetobacter|Acinetobacter variabilis	0.910767654	0.425192553
SRX9293852	SRR12826214	PRJNA231221	SAMN16357244	1867378646	811751225	10/18/20 9:47	GENOMIC	WGS	PAIRED	IL100133865	RANDOM	Illumina HiSeq 4000	fastq	110906	6072467	1303	Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus oralis	0.982063835	0.409185409
SRX2694961	SRR5400279	PRJNA231221	SAMN06173300	2639509294	1158483596	4/3/17 9:33	GENOMIC	WGS	PAIRED	IL100060477	RANDOM	Illumina HiSeq 4000	fastq	39844	8700253	545	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Citrobacter|Citrobacter koseri	0.995441241	0.535936133
SRX8575678	SRR12047094	PRJNA231221	SAMN13450466	642377761	2307860937	6/18/20 17:09	GENOMIC	WGS	SINGLE	PL100106874-1	RANDOM	PacBio RS	pacbio_native	139008	24474	33889	Bacteria|Actinobacteria|Micrococcales|Brevibacteriaceae|Brevibacterium|Brevibacterium casei	0.149704555	0.617365636
SRX729740	SRR1609060	PRJNA231221	SAMN02934523	890270347	3336831643	10/9/14 21:43	GENOMIC	WGS	SINGLE	PL100041278B-2	RANDOM	PacBio RS	pacbio_native	115369	48113	648	Bacteria|Proteobacteria|Gammaproteobacteria|Aeromonadales|Aeromonadaceae|Aeromonas|Aeromonas caviae	0.294301513	0.589799196
SRX3046519	SRR5879327	PRJNA231221	SAMN07312465	3041935228	10133747820	7/28/17 19:35	GENOMIC	WGS	SINGLE	PL100053945-1	RANDOM	PacBio RS	pacbio_native	65856	97626	197	Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter jejuni	0.597166661	0.318889561
SRX2737869	SRR5449080	PRJNA231221	SAMN06173322	351477172	234800971	4/16/17 5:38	GENOMIC	WGS	PAIRED	IL100056702	RANDOM	Illumina HiSeq 2500	fastq	69049	1670937	2434	Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Roseobacteraceae|Roseobacter|Roseobacter denitrificans	0.960316347	0.577312865
SRX9399186	SRR12935485	PRJNA231221	SAMN16357273	2111702082	822788805	10/29/20 16:26	GENOMIC	WGS	PAIRED	IL100139008	RANDOM	Illumina HiSeq 4000	fastq	22119	6970272	2778077	Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Weeksellaceae|Chryseobacterium group|Chryseobacterium|Chryseobacterium sp. FDAARGOS 1104	0.996836704	0.35180979
SRX11386427	SRR15076403	PRJNA231221	SAMN16357599	3296008068	1061588427	7/8/21 19:19	GENOMIC	WGS	PAIRED	IL100160381	RANDOM	Illumina NovaSeq 6000	fastq	10944485	10883383	1309	Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus mutans	0.498600367	0.372644084
SRX13309031	SRR17124528	PRJNA231221	SAMN23242882	6564918582	2212687840	12/3/21 19:59	GENOMIC	WGS	PAIRED	IL100206138	RANDOM	Illumina NovaSeq 6000	fastq	102633	21635508	2738409	Bacteria|Actinobacteria|Corynebacteriales|Mycobacteriaceae|Mycobacterium|Mycobacterium ostraviense	0.995278667	0.656841543
SRX2179442	SRR4272616	PRJNA231221	SAMN04875559	1839514756	6534458354	9/20/16 12:15	GENOMIC	WGS	SINGLE	PL100049559-1	RANDOM	PacBio RS	pacbio_native	104737	58745	28035	Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus lugdunensis	0.359336196	0.358332464
SRX9397547	SRR12933786	PRJNA231221	SAMN16357253	3060268551	773587879	10/29/20 12:52	GENOMIC	WGS	SINGLE	PL100132265-2	RANDOM	Sequel	bam	22124	467276	1396	Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus cereus group|Bacillus cereus	0.954793625	0.360010923
SRX9398715	SRR12934957	PRJNA231221	SAMN16357261	1817006556	800548402	10/29/20 12:52	GENOMIC	WGS	PAIRED	IL100138796	RANDOM	Illumina HiSeq 4000	fastq	192938	5823640	40214	Bacteria|Proteobacteria|Gammaproteobacteria|Moraxellales|Moraxellaceae|Acinetobacter|Acinetobacter johnsonii	0.96793227	0.399598904
SRX8575721	SRR12047137	PRJNA231221	SAMN13450471	878742263	3221460286	6/18/20 17:15	GENOMIC	WGS	SINGLE	PL100106879-1	RANDOM	PacBio RS	pacbio_native	127702	35780	562	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Escherichia|Escherichia coli	0.218862015	0.492898836
SRX3039317	SRR5871800	PRJNA231221	SAMN07312425	2657665426	8815388603	7/26/17 16:59	GENOMIC	WGS	SINGLE	PL100062017-1	RANDOM	PacBio RS	pacbio_native	72770	90712	28035	Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus lugdunensis	0.554874543	0.350093893
SRX9293511	SRR12825872	PRJNA231221	SAMN16357198	4584953732	2294751491	10/18/20 9:47	GENOMIC	WGS	PAIRED	IL100130876	RANDOM	Illumina HiSeq 4000	fastq	213421	14968545	545	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Citrobacter|Citrobacter koseri	0.985942466	0.542496825
SRX2717966	SRR5427942	PRJNA231221	SAMN06173364	2844274837	9682279695	4/6/17 18:32	GENOMIC	WGS	SINGLE	PL100061983-1	RANDOM	PacBio RS	pacbio_native	75834	87648	1639	Bacteria|Firmicutes|Bacilli|Bacillales|Listeriaceae|Listeria|Listeria monocytogenes	0.536132418	0.395324358
SRX2737838	SRR5449043	PRJNA231221	SAMN06173309	908231390	633752237	4/15/17 13:10	GENOMIC	WGS	PAIRED	IL100056687	RANDOM	Illumina HiSeq 2500	fastq	62842	4433353	2702	Bacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Gardnerella|Gardnerella vaginalis	0.986023293	0.412260389
