organism_name	infraspecific_name	lineage	taxonomy_id	bco_id	schema_version	bioproject	biosample	strain	genome_assembly_id	sample_name	instrument	isolate	collected_by	collection_date	geo_loc_name	isolation_source	lat_lon	culture_collection	host	host_age	host_description	host_disease	host_disease_outcome	host_disease_stage	host_health_state	host_sex	id_method	biosample_score
Prescottella equi		cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Mycobacteriales; Nocardiaceae; Prescottella	43767	ARGOS_000010	v1.4	PRJNA231221	SAMN13450482	FDAARGOS_952		FDAARGOS_952		Not applicable	USAMRIID	Unknown	Not applicable	missing	Not applicable	FDA:FDAARGOS_952	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Stutzerimonas stutzeri		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Stutzerimonas; Stutzerimonas stutzeri group; Stutzerimonas stutzeri subgroup	316	ARGOS_000010	v1.4	PRJNA231221	SAMN16357234	FDAARGOS_1065		FDAARGOS_1065		Not applicable	DSMZ	Unknown	Germany: Braunschweig	missing	Not applicable	DSM:50227	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Stutzerimonas balearica		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Stutzerimonas; Stutzerimonas stutzeri group	74829	ARGOS_000010	v1.4	PRJNA231221	SAMN16357182	FDAARGOS_1013		FDAARGOS_1013		Not applicable	missing	Unknown	Germany: Braunschweig	missing	Not applicable		missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Stutzerimonas frequens		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Stutzerimonas; Stutzerimonas stutzeri group	2968969	ARGOS_000010	v1.4	PRJNA231221	SAMN13450407	FDAARGOS_877		FDAARGOS_877		Not applicable	DSMZ	Unknown	Not applicable	missing	Not applicable	DSM:6082	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Stutzerimonas degradans		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Stutzerimonas; Stutzerimonas stutzeri group	2968968	ARGOS_000010	v1.4	PRJNA231221	SAMN13450406	FDAARGOS_876		FDAARGOS_876		Not applicable	DSMZ	Unknown	Not applicable	missing	Not applicable	DSM:50238	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Stutzerimonas stutzeri		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Stutzerimonas; Stutzerimonas stutzeri group; Stutzerimonas stutzeri subgroup	316	ARGOS_000010	v1.4	PRJNA231221	SAMN13450405	FDAARGOS_875		FDAARGOS_875		Not applicable	DSMZ	Unknown	Not applicable	missing	Not applicable	DSM:5190	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Leclercia adecarboxylata		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Leclercia	83655	ARGOS_000010	v1.4	PRJNA231221	SAMN21218861	FDAARGOS_1505		FDAARGOS_1505		Not applicable	DSMZ	Unknown	Germany: Braunschweig	missing	Not applicable	DSM:5077	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Lelliottia amnigena		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Lelliottia	61646	ARGOS_000010	v1.4	PRJNA231221	SAMN16357586	FDAARGOS 1444		FDAARGOS 1444		Not applicable	DSMZ	Unknown	Germany: Braunschweig	missing	Not applicable	DSM:4486	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Vibrio alginolyticus		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Vibrio harveyi group	663	ARGOS_000010	v1.4	PRJNA231221	SAMN03996338	FDAARGOS_97		FDAARGOS_97		Not Applicable	FDA CFSAN	Missing	Japan	spoiled horse mackerel causing food poisoning	Not Applicable	ATCC:17749		Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	16S and MLST	
Vibrio harveyi		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Vibrio harveyi group	669	ARGOS_000010	v1.4	PRJNA231221	SAMN03996325	FDAARGOS_109		FDAARGOS_109		Not Applicable	FDA CFSAN	Missing	USA: MA	dead amphipod	Not Applicable	LMG:4044		Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	16S and MLST	
Vibrio cholerae		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio	666	ARGOS_000010	v1.4	PRJNA231221	SAMN03996320	FDAARGOS_103		FDAARGOS_103		Not Applicable	FDA CFSAN	Missing	Germany	fish from river	Not Applicable	ATCC:14547		Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	16S and MLST	
Chryseobacterium gleum		cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Flavobacteriia; Flavobacteriales; Weeksellaceae; Chryseobacterium group; Chryseobacterium	250	ARGOS_000010	v1.4	PRJNA231221	SAMN16357272	FDAARGOS_1103		FDAARGOS_1103		Not applicable	DSMZ	Unknown	Germany: Braunschweig	missing	Not applicable	DSM:16776	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Enterobacter hormaechei		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Enterobacter; Enterobacter cloacae complex	158836	ARGOS_000010	v1.4	PRJNA231221	SAMN16357575	FDAARGOS 1433		FDAARGOS 1433		Not applicable	DSMZ	Unknown	Germany: Braunschweig	missing	Not applicable	DSM:12409	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Bartonella henselae		cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Bartonellaceae; Bartonella	38323	ARGOS_000010	v1.4	PRJNA231221	SAMN20888879	FDAARGOS_1462		FDAARGOS_1462		Not applicable	missing	Unknown	Germany: Braunschweig	missing	Not applicable	DSM:28221	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Bacteroides nordii		cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	291645	ARGOS_000010	v1.4	PRJNA231221	SAMN20888878	FDAARGOS_1461		FDAARGOS_1461		Not applicable	missing	Unknown	Germany: Braunschweig	missing	Not applicable	DSM:18764	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Burkholderia vietnamiensis		cellular organisms; Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; Burkholderia cepacia complex	60552	ARGOS_000010	v1.4	PRJNA231221	SAMN11056436	FDAARGOS_721		FDAARGOS_721			Mayo Clinic	Unknown	USA:MN	clinical isolate	Not applicable	FDA:FDAARGOS_721	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Pediococcus acidilactici		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Pediococcus; Pediococcus acidilactici group	1254	ARGOS_000010	v1.4	PRJNA231221	SAMN16357302	FDAARGOS_1133		FDAARGOS_1133		Not applicable	DSMZ	Unknown	Germany: Braunschweig	missing	Not applicable	DSM:20284	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Streptococcus mitis		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	28037	ARGOS_000010	v1.4	PRJNA231221	SAMN16357598	FDAARGOS 1456		FDAARGOS 1456		Not applicable	DSMZ	Unknown	Germany: Braunschweig	missing	Not applicable	DSM:12643	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Dengue virus		Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	12637	ARGOS_000010	v1.4	PRJNA231221	SAMN24061104	FDAARGOS_1655		FDAARGOS_1655		Not applicable	CBER	2013	Puerto Rico	Plasma/Vero cultivation	Not applicable	Not applicable	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	
West Nile virus		Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	11082	ARGOS_000010	v1.4	PRJNA231221	SAMN24061103	FDAARGOS_1654		FDAARGOS_1654		Not applicable	CBER	2018	USA	Plasma/Vero cultivation	Not applicable	Not applicable	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	
West Nile virus		Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	11082	ARGOS_000010	v1.4	PRJNA231221	SAMN24061102	FDAARGOS_1653		FDAARGOS_1653		Not applicable	CBER	2018	USA	Plasma/Vero cultivation	Not applicable	Not applicable	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	
West Nile virus		Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	11082	ARGOS_000010	v1.4	PRJNA231221	SAMN24061101	FDAARGOS_1652		FDAARGOS_1652		Not applicable	CBER	2018	USA	Plasma/Vero cultivation	Not applicable	Not applicable	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	
West Nile virus		Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	11082	ARGOS_000010	v1.4	PRJNA231221	SAMN24061100	FDAARGOS_1651		FDAARGOS_1651		Not applicable	CBER	2018	USA	Plasma/Vero cultivation	Not applicable	Not applicable	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	
West Nile virus		Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	11082	ARGOS_000010	v1.4	PRJNA231221	SAMN24061099	FDAARGOS_1650		FDAARGOS_1650		Not applicable	CBER	2018	USA	Plasma/Vero cultivation	Not applicable	Not applicable	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	
West Nile virus		Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	11082	ARGOS_000010	v1.4	PRJNA231221	SAMN24061098	FDAARGOS_1649		FDAARGOS_1649		Not applicable	CBER	2018	USA	Plasma/Vero cultivation	Not applicable	Not applicable	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	
West Nile virus		Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	11082	ARGOS_000010	v1.4	PRJNA231221	SAMN24061097	FDAARGOS_1648		FDAARGOS_1648		Not applicable	CBER	2018	USA	Plasma/Vero cultivation	Not applicable	Not applicable	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	
West Nile virus		Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	11082	ARGOS_000010	v1.4	PRJNA231221	SAMN24061096	FDAARGOS_1647		FDAARGOS_1647		Not applicable	CBER	2018	USA	Plasma/Vero cultivation	Not applicable	Not applicable	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	
West Nile virus		Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	11082	ARGOS_000010	v1.4	PRJNA231221	SAMN24061095	FDAARGOS_1646		FDAARGOS_1646		Not applicable	CBER	2018	USA	Plasma/Vero cultivation	Not applicable	Not applicable	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	
West Nile virus		Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	11082	ARGOS_000010	v1.4	PRJNA231221	SAMN24061094	FDAARGOS_1645		FDAARGOS_1645		Not applicable	CBER	2018	USA	Plasma/Vero cultivation	Not applicable	Not applicable	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	
West Nile virus		Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	11082	ARGOS_000010	v1.4	PRJNA231221	SAMN24061093	FDAARGOS_1644		FDAARGOS_1644		Not applicable	CBER	2018	USA	Plasma/Vero cultivation	Not applicable	Not applicable	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	
West Nile virus		Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	11082	ARGOS_000010	v1.4	PRJNA231221	SAMN24061092	FDAARGOS_1643		FDAARGOS_1643		Not applicable	CBER	2018	USA	Plasma/Vero cultivation	Not applicable	Not applicable	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	
West Nile virus		Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	11082	ARGOS_000010	v1.4	PRJNA231221	SAMN24061091	FDAARGOS_1642		FDAARGOS_1642		Not applicable	CBER	2017	USA	Plasma/Vero cultivation	Not applicable	Not applicable	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	
West Nile virus		Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	11082	ARGOS_000010	v1.4	PRJNA231221	SAMN24061090	FDAARGOS_1641		FDAARGOS_1641		Not applicable	CBER	2017	USA	Plasma/Vero cultivation	Not applicable	Not applicable	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	
West Nile virus		Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	11082	ARGOS_000010	v1.4	PRJNA231221	SAMN24061089	FDAARGOS_1640		FDAARGOS_1640		Not applicable	CBER	2017	USA	Plasma/Vero cultivation	Not applicable	Not applicable	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	
West Nile virus		Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	11082	ARGOS_000010	v1.4	PRJNA231221	SAMN24061088	FDAARGOS_1639		FDAARGOS_1639		Not applicable	CBER	2016	USA	Plasma/Vero cultivation	Not applicable	Not applicable	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	
West Nile virus		Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	11082	ARGOS_000010	v1.4	PRJNA231221	SAMN24061087	FDAARGOS_1638		FDAARGOS_1638		Not applicable	CBER	2016	USA	Plasma/Vero cultivation	Not applicable	Not applicable	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	
West Nile virus		Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	11082	ARGOS_000010	v1.4	PRJNA231221	SAMN24061086	FDAARGOS_1637		FDAARGOS_1637		Not applicable	CBER	2016	USA	Plasma/Vero cultivation	Not applicable	Not applicable	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	
West Nile virus		Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	11082	ARGOS_000010	v1.4	PRJNA231221	SAMN24061085	FDAARGOS_1636		FDAARGOS_1636		Not applicable	CBER	2015	USA	Plasma/Vero cultivation	Not applicable	Not applicable	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	
West Nile virus		Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	11082	ARGOS_000010	v1.4	PRJNA231221	SAMN24061084	FDAARGOS_1635		FDAARGOS_1635		Not applicable	CBER	2015	USA	Plasma/Vero cultivation	Not applicable	Not applicable	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	
West Nile virus		Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	11082	ARGOS_000010	v1.4	PRJNA231221	SAMN24061083	FDAARGOS_1634		FDAARGOS_1634		Not applicable	CBER	2015	USA	Plasma/Vero cultivation	Not applicable	Not applicable	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	
West Nile virus		Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	11082	ARGOS_000010	v1.4	PRJNA231221	SAMN24061082	FDAARGOS_1633		FDAARGOS_1633		Not applicable	CBER	2014	USA	Plasma/Vero cultivation	Not applicable	Not applicable	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	
West Nile virus		Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	11082	ARGOS_000010	v1.4	PRJNA231221	SAMN24061081	FDAARGOS_1632		FDAARGOS_1632		Not applicable	CBER	2014	USA	Plasma/Vero cultivation	Not applicable	Not applicable	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	
West Nile virus		Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	11082	ARGOS_000010	v1.4	PRJNA231221	SAMN24061080	FDAARGOS_1631		FDAARGOS_1631		Not applicable	CBER	2014	USA	Plasma/Vero cultivation	Not applicable	Not applicable	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	
West Nile virus		Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	11082	ARGOS_000010	v1.4	PRJNA231221	SAMN24061079	FDAARGOS_1630		FDAARGOS_1630		Not applicable	CBER	2014	USA	Plasma/Vero cultivation	Not applicable	Not applicable	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	
West Nile virus		Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	11082	ARGOS_000010	v1.4	PRJNA231221	SAMN24061078	FDAARGOS_1629		FDAARGOS_1629		Not applicable	CBER	2014	USA	Plasma/Vero cultivation	Not applicable	Not applicable	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	
West Nile virus		Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	11082	ARGOS_000010	v1.4	PRJNA231221	SAMN24061077	FDAARGOS_1628		FDAARGOS_1628		Not applicable	CBER	2014	USA	Plasma/Vero cultivation	Not applicable	Not applicable	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	
West Nile virus		Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	11082	ARGOS_000010	v1.4	PRJNA231221	SAMN24061076	FDAARGOS_1627		FDAARGOS_1627		Not applicable	CBER	2014	USA	Plasma/Vero cultivation	Not applicable	Not applicable	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	
West Nile virus		Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	11082	ARGOS_000010	v1.4	PRJNA231221	SAMN24061075	FDAARGOS_1626		FDAARGOS_1626		Not applicable	CBER	2014	USA	Plasma/Vero cultivation	Not applicable	Not applicable	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	
West Nile virus		Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	11082	ARGOS_000010	v1.4	PRJNA231221	SAMN24061074	FDAARGOS_1625		FDAARGOS_1625		Not applicable	CBER	2014	USA	Plasma/Vero cultivation	Not applicable	Not applicable	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	
