assembled_genome_acc	organism_name	infraspecific_name	genome_assembly_id	lineage	taxonomy_id	bco_id	schema_version	analysis_platform	analysis_platform_object_id	ngs_read_file_source	genomic_section	num_chromosomes	num_genes	num_segments	assembly_gc_content	length	genome_coverage	n50	n75	n90	l50	l75	ref_genome_acc	query_coverage_against_reference	percent_identity_against_reference	percent_reads_unaligned	assembly_type	assembly_level	assembly_score	reference_coverage_against_query
NZ_JAIWZK010000001.1	Bacteroides fragilis	strain=FDAARGOS_1513	GCA_020297545.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	11093421	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/297/545/GCA_020297545.1_ASM2029754v1_genomic.gbff.gz	000000F_arrow_pilon	0	-	9	-	-	-	-	-	-	-	-	GCF_020297545.1	-	-	-	haploid	Contig	-	-
NZ_JAIWZK010000002.1	Bacteroides fragilis	strain=FDAARGOS_1513	GCA_020297545.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	11093421	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/297/545/GCA_020297545.1_ASM2029754v1_genomic.gbff.gz	000001F_arrow_pilon	0	-	9	-	-	-	-	-	-	-	-	GCF_020297545.1	-	-	-	haploid	Contig	-	-
NZ_JAIWZK010000003.1	Bacteroides fragilis	strain=FDAARGOS_1513	GCA_020297545.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	11093421	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/297/545/GCA_020297545.1_ASM2029754v1_genomic.gbff.gz	000002F_arrow_pilon	0	-	9	-	-	-	-	-	-	-	-	GCF_020297545.1	-	-	-	haploid	Contig	-	-
NZ_JAIWZK010000004.1	Bacteroides fragilis	strain=FDAARGOS_1513	GCA_020297545.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	11093421	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/297/545/GCA_020297545.1_ASM2029754v1_genomic.gbff.gz	000003F_arrow_pilon	0	-	9	-	-	-	-	-	-	-	-	GCF_020297545.1	-	-	-	haploid	Contig	-	-
NZ_JAIWZK010000005.1	Bacteroides fragilis	strain=FDAARGOS_1513	GCA_020297545.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	11093421	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/297/545/GCA_020297545.1_ASM2029754v1_genomic.gbff.gz	000004F_arrow_pilon	0	-	9	-	-	-	-	-	-	-	-	GCF_020297545.1	-	-	-	haploid	Contig	-	-
NZ_JAIWZK010000006.1	Bacteroides fragilis	strain=FDAARGOS_1513	GCA_020297545.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	11093421	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/297/545/GCA_020297545.1_ASM2029754v1_genomic.gbff.gz	000005F_arrow_pilon	0	-	9	-	-	-	-	-	-	-	-	GCF_020297545.1	-	-	-	haploid	Contig	-	-
NZ_JAIWZJ010000004.1	Bacteroides fragilis	strain=FDAARGOS_1514	GCA_020297435.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	11093361	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/297/435/GCA_020297435.1_ASM2029743v1_genomic.gbff.gz	ctg.s2.000034F_arrow_pilon	0	-	8	-	-	-	-	-	-	-	-	GCF_020297435.1	-	-	-	haploid	Contig	-	-
NZ_JAIWZJ010000005.1	Bacteroides fragilis	strain=FDAARGOS_1514	GCA_020297435.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	11093361	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/297/435/GCA_020297435.1_ASM2029743v1_genomic.gbff.gz	ctg.s2.140_arrow_pilon	0	-	8	-	-	-	-	-	-	-	-	GCF_020297435.1	-	-	-	haploid	Contig	-	-
NZ_JAIWZJ010000006.1	Bacteroides fragilis	strain=FDAARGOS_1514	GCA_020297435.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	11093361	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/297/435/GCA_020297435.1_ASM2029743v1_genomic.gbff.gz	NODE_21_length_4225_cov_1133.742285_trim	0	-	8	-	-	-	-	-	-	-	-	GCF_020297435.1	-	-	-	haploid	Contig	-	-
NZ_JAIWZJ010000007.1	Bacteroides fragilis	strain=FDAARGOS_1514	GCA_020297435.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	11093361	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/297/435/GCA_020297435.1_ASM2029743v1_genomic.gbff.gz	NODE_19_length_5671_cov_484.615660_trim	0	-	8	-	-	-	-	-	-	-	-	GCF_020297435.1	-	-	-	haploid	Contig	-	-
NZ_JAIWZJ010000008.1	Bacteroides fragilis	strain=FDAARGOS_1514	GCA_020297435.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	11093361	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/297/435/GCA_020297435.1_ASM2029743v1_genomic.gbff.gz	NODE_23_length_2828_cov_1454.323155_trim	0	-	8	-	-	-	-	-	-	-	-	GCF_020297435.1	-	-	-	haploid	Contig	-	-
NZ_JAIWZJ010000001.1	Bacteroides fragilis	strain=FDAARGOS_1514	GCA_020297435.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	11093361	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/297/435/GCA_020297435.1_ASM2029743v1_genomic.gbff.gz	ctg.s1.000000F_arrow_pilon	0	-	8	-	-	-	-	-	-	-	-	GCF_020297435.1	-	-	-	haploid	Contig	-	-
NZ_JAIWZJ010000002.1	Bacteroides fragilis	strain=FDAARGOS_1514	GCA_020297435.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	11093361	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/297/435/GCA_020297435.1_ASM2029743v1_genomic.gbff.gz	ctg.s1.000001F_arrow_pilon	0	-	8	-	-	-	-	-	-	-	-	GCF_020297435.1	-	-	-	haploid	Contig	-	-
NZ_JAIWZJ010000003.1	Bacteroides fragilis	strain=FDAARGOS_1514	GCA_020297435.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	11093361	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/297/435/GCA_020297435.1_ASM2029743v1_genomic.gbff.gz	ctg.s2.000000F_arrow_pilon	0	-	8	-	-	-	-	-	-	-	-	GCF_020297435.1	-	-	-	haploid	Contig	-	-
NZ_JAIWZL010000001.1	Bacteroides fragilis	strain=FDAARGOS_1511	GCA_020297425.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	11093351	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/297/425/GCA_020297425.1_ASM2029742v1_genomic.gbff.gz	ctg.s1.000000F_arrow_pilon	0	-	4	-	-	-	-	-	-	-	-	GCF_020297425.1	-	-	-	haploid	Contig	-	-
NZ_JAIWZL010000002.1	Bacteroides fragilis	strain=FDAARGOS_1511	GCA_020297425.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	11093351	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/297/425/GCA_020297425.1_ASM2029742v1_genomic.gbff.gz	ctg.s1.000001F_arrow_pilon	0	-	4	-	-	-	-	-	-	-	-	GCF_020297425.1	-	-	-	haploid	Contig	-	-
NZ_JAIWZL010000003.1	Bacteroides fragilis	strain=FDAARGOS_1511	GCA_020297425.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	11093351	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/297/425/GCA_020297425.1_ASM2029742v1_genomic.gbff.gz	ctg.s2.000000F_arrow_pilon	0	-	4	-	-	-	-	-	-	-	-	GCF_020297425.1	-	-	-	haploid	Contig	-	-
NZ_JAIWZL010000004.1	Bacteroides fragilis	strain=FDAARGOS_1511	GCA_020297425.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	11093351	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/297/425/GCA_020297425.1_ASM2029742v1_genomic.gbff.gz	ctg.s2.000001F_arrow_pilon	0	-	4	-	-	-	-	-	-	-	-	GCF_020297425.1	-	-	-	haploid	Contig	-	-
NZ_CP083813.1	Bacteroides ovatus	strain=FDAARGOS_1516	GCA_020149745.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	28116	ARGOS_000038	v1.0	NCBI	10999041	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/149/745/GCA_020149745.1_ASM2014974v1_genomic.gbff.gz	CP083813.1	1	-	1	42	6434576	-	6434576	6434576	6434576	1	-	GCF_020149745.1	-	-	-	haploid	Chromosome	-	-
NZ_CP083623.1	Bacteroides fragilis	strain=FDAARGOS_1512	GCA_020097275.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	10971291	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/097/275/GCA_020097275.1_ASM2009727v1_genomic.gbff.gz	CP083623.1	1	-	2	43	5199476	-	5199476	5199476	5199476	1	-	GCF_020097275.1	-	-	-	haploid	Complete Genome	-	-
NZ_CP083624.1	Bacteroides fragilis	strain=FDAARGOS_1512	GCA_020097275.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	10971291	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/097/275/GCA_020097275.1_ASM2009727v1_genomic.gbff.gz	unnamed	1	-	2	32	36573	-	36573	5199476	5199476	1	-	GCF_020097275.1	-	-	-	haploid	Complete Genome	-	-
NZ_CP082886.1	Bacteroides nordii	strain=FDAARGOS_1461	GCA_019930665.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	291645	ARGOS_000038	v1.0	NCBI	10877531	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/930/665/GCA_019930665.1_ASM1993066v1_genomic.gbff.gz	CP082886.1	1	-	1	40.5	5678582	-	5678582	5678582	5678582	1	-	GCF_019930665.1	-	-	-	haploid	Complete Genome	-	-
NZ_JAFEKG010000001.1	Bacteroides cellulosilyticus	strain=FDAARGOS_1237	GCA_017309805.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	246787	ARGOS_000038	v1.0	NCBI	9503251	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/309/805/GCA_017309805.1_ASM1730980v1_genomic.gbff.gz	000000F_arrow_pilon	0	-	3	-	-	-	-	-	-	-	-	GCF_017309805.1	-	-	-	haploid	Contig	-	-
NZ_JAFEKG010000003.1	Bacteroides cellulosilyticus	strain=FDAARGOS_1237	GCA_017309805.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	246787	ARGOS_000038	v1.0	NCBI	9503251	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/309/805/GCA_017309805.1_ASM1730980v1_genomic.gbff.gz	000001F_arrow_pilon	0	-	3	-	-	-	-	-	-	-	-	GCF_017309805.1	-	-	-	haploid	Contig	-	-
NZ_JAFEKG010000002.1	Bacteroides cellulosilyticus	strain=FDAARGOS_1237	GCA_017309805.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	246787	ARGOS_000038	v1.0	NCBI	9503251	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/309/805/GCA_017309805.1_ASM1730980v1_genomic.gbff.gz	000002F_arrow_pilon	0	-	3	-	-	-	-	-	-	-	-	GCF_017309805.1	-	-	-	haploid	Contig	-	-
NZ_CP069794.1	Bacteroides eggerthii	strain=FDAARGOS_1221	GCA_016894205.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	28111	ARGOS_000038	v1.0	NCBI	9291491	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/894/205/GCA_016894205.1_ASM1689420v1_genomic.gbff.gz	CP069794.1	1	-	1	44.5	4228380	-	4228380	4228380	4228380	1	-	GCF_016894205.1	-	-	-	haploid	Chromosome	-	-
NZ_CP069790.1	Bacteroides ovatus	strain=FDAARGOS_1235	GCA_016894185.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	28116	ARGOS_000038	v1.0	NCBI	9291481	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/894/185/GCA_016894185.1_ASM1689418v1_genomic.gbff.gz	CP069790.1	1	-	1	42	6425267	-	6425267	6425267	6425267	1	-	GCF_016894185.1	-	-	-	haploid	Chromosome	-	-
NZ_CP069563.1	Bacteroides fragilis	strain=FDAARGOS_1225	GCA_016889925.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	9289301	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/889/925/GCA_016889925.1_ASM1688992v1_genomic.gbff.gz	CP069563.1	1	-	2	43	5150703	-	5150703	5150703	5150703	1	-	GCF_016889925.1	-	-	-	haploid	Complete Genome	-	-
NZ_CP069564.1	Bacteroides fragilis	strain=FDAARGOS_1225	GCA_016889925.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	9289301	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/889/925/GCA_016889925.1_ASM1688992v1_genomic.gbff.gz	unnamed	1	-	2	42.5	98235	-	98235	5150703	5150703	1	-	GCF_016889925.1	-	-	-	haploid	Complete Genome	-	-
NZ_CP069532.1	Bacteroides caccae	strain=FDAARGOS_1219	GCA_016889745.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	47678	ARGOS_000038	v1.0	NCBI	9289211	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/889/745/GCA_016889745.1_ASM1688974v1_genomic.gbff.gz	CP069532.1	1	-	1	42	4570957	-	4570957	4570957	4570957	1	-	GCF_016889745.1	-	-	-	haploid	Complete Genome	-	-
NZ_JAFEKN010000005.1	Bacteroides fragilis	strain=FDAARGOS_1222	GCA_016888645.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	9288691	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/888/645/GCA_016888645.1_ASM1688864v1_genomic.gbff.gz	tig00000108_trim_arrow_pilon	0	-	10	-	-	-	-	4269995	1203731	1	-	GCF_016888645.1	-	-	-	haploid	Scaffold	-	-
NZ_JAFEKN010000006.1	Bacteroides fragilis	strain=FDAARGOS_1222	GCA_016888645.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	9288691	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/888/645/GCA_016888645.1_ASM1688864v1_genomic.gbff.gz	tig00000111_trim_arrow_pilon	0	-	10	-	-	-	-	4269995	1203731	1	-	GCF_016888645.1	-	-	-	haploid	Scaffold	-	-
NZ_JAFEKN010000010.1	Bacteroides fragilis	strain=FDAARGOS_1222	GCA_016888645.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	9288691	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/888/645/GCA_016888645.1_ASM1688864v1_genomic.gbff.gz	NODE_44_length_2860_cov_127.970535_trim	0	-	10	-	-	-	-	4269995	1203731	1	-	GCF_016888645.1	-	-	-	haploid	Scaffold	-	-
NZ_JAFEKN010000009.1	Bacteroides fragilis	strain=FDAARGOS_1222	GCA_016888645.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	9288691	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/888/645/GCA_016888645.1_ASM1688864v1_genomic.gbff.gz	tig00000109_arrow_pilon	0	-	10	-	-	-	-	4269995	1203731	1	-	GCF_016888645.1	-	-	-	haploid	Scaffold	-	-
NZ_JAFEKN010000008.1	Bacteroides fragilis	strain=FDAARGOS_1222	GCA_016888645.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	9288691	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/888/645/GCA_016888645.1_ASM1688864v1_genomic.gbff.gz	tig00000002_arrow_pilon	0	-	10	-	-	-	-	4269995	1203731	1	-	GCF_016888645.1	-	-	-	haploid	Scaffold	-	-
NZ_JAFEKN010000002.1	Bacteroides fragilis	strain=FDAARGOS_1222	GCA_016888645.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	9288691	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/888/645/GCA_016888645.1_ASM1688864v1_genomic.gbff.gz	tig00000021_arrow_pilon	0	-	10	-	-	-	-	4269995	1203731	1	-	GCF_016888645.1	-	-	-	haploid	Scaffold	-	-
NZ_JAFEKN010000004.1	Bacteroides fragilis	strain=FDAARGOS_1222	GCA_016888645.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	9288691	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/888/645/GCA_016888645.1_ASM1688864v1_genomic.gbff.gz	tig00000023_arrow_pilon	0	-	10	-	-	-	-	4269995	1203731	1	-	GCF_016888645.1	-	-	-	haploid	Scaffold	-	-
