property	data_object	requirement	id	title	data_type	constraint	default	examples	pattern
genomic_section	assemblyQC_HIVE.tsv	required	#root/genomic_section	genomic_section	string	N/A		PB2	^[A-Za-z0-9]+$
num_chromosomes	assemblyQC_HIVE.tsv	optional	#root/num_chromosomes	num_chromosomes	int	1-100	-	8	^[0-9]+$
num_genes	assemblyQC_HIVE.tsv	optional	#root/num_genes	num_genes	int	1-1000000	-	9	^[0-9]+$
assembly_gc_content	assemblyQC_HIVE.tsv	required	#root/assembly_gc_content	assembly_gc_content	float	0.0-1.0	-	29.903	^[0-9]*\.[0-9]+$
length	assemblyQC_HIVE.tsv	optional	#root/length	length	int	0-1000000000	-	13588	^[0-9]+$
genome_coverage	assemblyQC_HIVE.tsv	optional	#root/genome_coverage	genome_coverage	float	0.0-100.0	-	94.45	^[0-9]*\.[0-9]+$
n50 	assemblyQC_HIVE.tsv	optional	#root/n50	n50	int	0-100000	-	2233	^[0-9]+$
n75	assemblyQC_HIVE.tsv	optional	#root/n75	n75	int	0-100000	-	1565	^[0-9]+$
n90	assemblyQC_HIVE.tsv	optional	#root/n90	n90	int	0-100000	-	1027	^[0-9]+$
l50 	assemblyQC_HIVE.tsv	optional	#root/l50	l50	int	1-1000000	-	3	^[0-9]+$
l75	assemblyQC_HIVE.tsv	optional	#root/l75	l75	int	1-1000000	-	5	^[0-9]+$
percent_reads_unaligned	assemblyQC_HIVE.tsv	optional	#root/percent_reads_unaligned	percent_reads_unaligned	int	0-100000000	-	1570000	^[0-9]+$
assembly_type	assemblyQC_HIVE.tsv	optional	#root/assembly_type	assembly_type	string	N/A	-	Haploid 	^.*$
assembly_level	assemblyQC_HIVE.tsv	optional	#root/assembly_level	assembly_level	string	N/A	-	Complete Genome	^.*$
organism_name	biosampleMeta_HIVE.tsv	required	#root/organism_name	organism_name	string	N/A	-	Severe acute respiratory syndrome coronavirus 2	^([A-Za-z0-9]+( [A-Za-z0-9]+)+)$
infraspecific_name	biosampleMeta_HIVE.tsv	optional	#root/infraspecific_name	infraspecific_name	string	N/A	-	isolate Wuhan-Hu-1	^([A-Za-z0-9]+( [A-Za-z0-9]+)+)$
lineage	biosampleMeta_HIVE.tsv	optional	#root/lineage	lineage	string	N/A	-	Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus|Severe acute respiratory syndrome-related coronavirus	^.*$
taxonomy_id	biosampleMeta_HIVE.tsv	required	#root/taxonomy_id	taxonomy_id	int	N/A	-	433733	^[0-9]+$
bco_id	biosampleMeta_HIVE.tsv	required	#root/bco_id	bco_id	string	N/A	-	ARGOS_000020	^.*$
schema_version	biosampleMeta_HIVE.tsv	required	#root/schema_version	schema_version	string	N/A	-	v0.9	^.*$
bioproject	biosampleMeta_HIVE.tsv	required	#root/bioproject	bioproject	string	N/A	-	PRJNA603194	^[A-Za-z0-9]+$
biosample	biosampleMeta_HIVE.tsv	required	#root/biosample	biosample	string	N/A	-	SAMN13922059	^[A-Za-z0-9]+$
strain	biosampleMeta_HIVE.tsv	optional	#root/strain	strain	string	N/A	-	FDAARGOS_94	^.*$
genome_assembly_id	biosampleMeta_HIVE.tsv	optional	#root/genome_assembly_id	genome_assembly_id	string	N/A	-	GCA_009858895.3	^.*$
sample_name	biosampleMeta_HIVE.tsv	optional	#root/sample_name	sample_name	string	N/A	-	human bronchoalveolar lavage fluid	^.*$
instrument	biosampleMeta_HIVE.tsv	optional	#root/instrument	instrument	string	N/A	-	Illumina MiniSeq	^.*$
isolate	biosampleMeta_HIVE.tsv	optional	#root/isolate	isolate	string	N/A	-	Monkeypox Virus/USA-2003	^.*$
collected_by	biosampleMeta_HIVE.tsv	optional	#root/collected_by	collected_by	string	N/A	-	Fudan University	^.*$
collection_date	biosampleMeta_HIVE.tsv	optional	#root/collection_date	collection_date	string	N/A	-	2/20/20	^.*$
geo_loc_name	biosampleMeta_HIVE.tsv	optional	#root/geo_loc_name	geo_loc_name	string	N/A	-	China: Wuhan	^.*$
isolation_source	biosampleMeta_HIVE.tsv	optional	#root/isolation_source	isolation_source	string	N/A	-	human lung metagenome	^.*$
lat_lon	biosampleMeta_HIVE.tsv	optional	#root/lat_lon	lat_lon	string	N/A	-	NA	^.*$
culture_collection	biosampleMeta_HIVE.tsv	optional	#root/culture_collection	culture_collection	string	N/A	-	FDA:FDAARGOS_855	^.*$
host	biosampleMeta_HIVE.tsv	optional	#root/host	host	string	N/A	-	9606	^.*$
host_age	biosampleMeta_HIVE.tsv	optional	#root/host_age	host_age	int	0-200	-	16M	^.*$
host_description	biosampleMeta_HIVE.tsv	optional	#root/host_description	host_description	string	N/A	-	NA	^.*$
host_disease	biosampleMeta_HIVE.tsv	optional	#root/host_disease	host_disease	string	N/A	-	Monkeypox Virus Disease	^.*$
host_disease_outcome	biosampleMeta_HIVE.tsv	optional	#root/host_disease_outcome	host_disease_outcome	string	N/A	-	NA	^.*$
host_disease_stage	biosampleMeta_HIVE.tsv	optional	#root/host_disease_stage	host_disease_stage	string	N/A	-	NA	^.*$
host_health_state	biosampleMeta_HIVE.tsv	optional	#root/host_health_state	host_health_state	string	N/A	-	NA	^.*$
host_sex	biosampleMeta_HIVE.tsv	optional	#root/host_sex	host_sex	string	N/A	-	Male | Female 	^.*$
id_method	biosampleMeta_HIVE.tsv	optional	#root/identification_method	identification_method	string	N/A	-	RT-PCR and Amplicon Sequencing|Phenotypic and Molecular Methods	^.*$
organism_name	ngsQC_HIVE.tsv 	required	#root/organism_name	organism_name	string	N/A	-	Severe acute respiratory syndrome coronavirus 2	^([A-Za-z0-9]+( [A-Za-z0-9]+)+)$
infraspecific_name	ngsQC_HIVE.tsv 	optional	#root/infraspecific_name	infraspecific_name	string	N/A	-	isolate Wuhan-Hu-1	^([A-Za-z0-9]+( [A-Za-z0-9]+)+)$
lineage	ngsQC_HIVE.tsv 	optional	#root/lineage	lineage	string	N/A	-	Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus|Severe acute respiratory syndrome-related coronavirus	^.*$
genome_assembly_id	ngsQC_HIVE.tsv 	required	#root/genome_assembly_id	genome_assembly_id	string	N/A	-	GCA_009858895.3	^.*$
taxonomy_id	ngsQC_HIVE.tsv 	required	#root/taxonomy_id	taxonomy_id	int	N/A	-	2697049	^[0-9]+$
bco_id	ngsQC_HIVE.tsv 	required	#root/bco_id	bco_id	string	N/A	-	ARGOS_000019	^.*$
schema_version	ngsQC_HIVE.tsv 	required	#root/schema_version	schema_version	string	N/A	-	v0.9	^.*$
analysis_platform	ngsQC_HIVE.tsv 	required	#root/analysis_platform	analysis_platform	string	N/A	-	HIVE 1 | HIVE 2 | HIVE AWS | Galaxy	^.*$
analysis_platform_object_id	ngsQC_HIVE.tsv 	optional	#root/analysis_platform_object_id	analysis_platform_object_id	string	43172-43172	-	39658	^[0-9]+$
bioproject	ngsQC_HIVE.tsv 	required	#root/bioproject	bioproject	string	N/A	-	PRJNA603194	^[A-Za-z0-9]+$
biosample	ngsQC_HIVE.tsv 	required	#root/biosample	biosample	string	N/A	-	SAMN13922059	^[A-Za-z0-9]+$
strain	ngsQC_HIVE.tsv 	optional	#root/strain	strain	string	N/A	-	FDAARGOS_94	^.*$
sra_run_id	ngsQC_HIVE.tsv 	required	#root/sra_run_id	sra_run_id	string	N/A	-	SRR10971381	^[A-Za-z0-9]+$
ngs_read_file_name	ngsQC_HIVE.tsv 	required	#root/ngs_read_file_name	ngs_read_file_name	string	N/A	-	SRR10971381_1.fastq	^.*$
ngs_read_file_source	ngsQC_HIVE.tsv 	required	#root/ngs_read_file_source	ngs_read_file_source	string	N/A	-	SRA	^[A-Za-z]+$
ngs_gc_content	ngsQC_HIVE.tsv 	required	#root/ngs_gc_content	ngs_gc_content	float	0.0-1.0	-	51.4	^[0-9]*\.[0-9]+$
avg_phred_score	ngsQC_HIVE.tsv 	required	#root/avg_phred_score	avg_phred_score	float	0.0-1000.0	-	33.5807	^[0-9]*\.[0-9]+$
avg_read_length	ngsQC_HIVE.tsv 	required	#root/avg_read_length	avg_read_length	float	0.0-10000.0	-	138.6775	^[0-9]*\.[0-9]+$
max_read_length	ngsQC_HIVE.tsv 	required	#root/max_read_length	max_read_length	int	0-100000	-	151	^[0-9]+$
min_read_length	ngsQC_HIVE.tsv 	required	#root/min_read_length	min_read_length	int	0-10000	-	1	^[0-9]+$
num_reads_unique	ngsQC_HIVE.tsv 	optional	#root/num_reads_unique	num_reads_unique	int	0-100000000	-	NA	^[0-9]+$
pos_outlier_count	ngsQC_HIVE.tsv 	optional	#root/pos_outlier_count	pos_outlier_count	int	0-100000	-	0	^[0-9]+$
codon_table	ngsQC_HIVE.tsv 	optional	#root/codon_table	codon_table	string	N/A	-	"Standard|Vertebrate Mitochondrial|Yeast Mitochondrial|Mold,Protozoan and Coelenterate Mitochondrial and Mycoplasma/Spiroplasma|Invertebrate Mitochonrial|Ciliate, Dasycladacean and Hexamita Nuclear|Echinoderm and Flatworm Mitochondrial|Euplotid Nuclear|Bacterial, Archael and Plant Plastid|Alternative Yeast Nuclear|Ascidian Mitochondrial|Alternative Flatworm Mitochondrial|Chlorophycean Mitochondrial|Trematode Mitochondrial|Scenedesmus Obliquus Mitochondrial|Thraustochytrium Mitochondrial|Pterobranchia Mitochondrial|Candidate Division SR1 and Gracilibacteria|Pachysolen tannophilus Nuclear"	^.*$
percent_coding	ngsQC_HIVE.tsv 	optional	#root/percent_coding	percent_coding	string	N/A	-	0.84|0.71|0.93|0.93|0.93|1.0|0.93|0.93|0.84|0.84|0.93|1.0|0.91|0.93|0.28|0.84|0.93|0.93|0.84	^([0-9]*\.[0-9]+(\|[0-9]*\.[0-9]+)+)$
percent_not_coding	ngsQC_HIVE.tsv 	optional	#root/percent_not_coding	percent_not_coding	string	N/A	-	0.16|0.29|0.07|0.07|0.07|0.0|0.07|0.07|0.16|0.16|0.07|0.0|0.09|0.07|0.72|0.16|0.07|0.07|0.16	^([0-9]*\.[0-9]+(\|[0-9]*\.[0-9]+)+)$
complexity_percent	ngsQC_HIVE.tsv 	optional	#root/complexity_percent	complexity_percent	float	0.0-100.0	-	94	^[0-9]+$
non_complex_percent	ngsQC_HIVE.tsv 	optional	#root/non_complex_percent	non_complex_percent	float	0.0-100.0	-	6	^[0-9]+$
avg_quality_a	ngsQC_HIVE.tsv 	optional	#root/avg_quality_a	avg_quality_a	float	0.0-1000.0	-	32.095	^[0-9]*\.[0-9]+$
avg_quality_t	ngsQC_HIVE.tsv 	optional	#root/avg_quality_t	avg_quality_t	float	0.0-1000.0	-	33.988	^[0-9]*\.[0-9]+$
avg_quality_g	ngsQC_HIVE.tsv 	optional	#root/avg_quality_g	avg_quality_g	float	0.0-1000.0	-	33.911	^[0-9]*\.[0-9]+$
avg_quality_c	ngsQC_HIVE.tsv 	optional	#root/avg_quality_c	avg_quality_c	float	0.0-1000.0	-	34.093	^[0-9]*\.[0-9]+$
count_a	ngsQC_HIVE.tsv 	optional	#root/count_a	count_a	int	0-1000000000	-	442689195	^[0-9]+$
count_t	ngsQC_HIVE.tsv 	optional	#root/count_t	count_t	int	0-1000000000	-	524276679	^[0-9]+$
count_g	ngsQC_HIVE.tsv 	optional	#root/count_g	count_g	int	0-1000000000	-	437991224	^[0-9]+$
count_c	ngsQC_HIVE.tsv 	optional	#root/count_c	count_c	int	0-1000000000	-	584757437	^[0-9]+$
instrument	ngsQC_HIVE.tsv 	required	#root/instrument	instrument	string	N/A	-	Illumina MiniSeq	^.*$
id_method	ngsQC_HIVE.tsv 	optional	#root/id_method	id_method	string	N/A	-	Viral RNA | Culture | Phenotypic Identification	^.*$
strategy	ngsQC_HIVE.tsv 	optional	#root/strategy	strategy	string	N/A	-	RNA-Seq	^.*$
organism_name	siteQC_HIVE.tsv	required	#root/organism_name	organism_name	string	N/A	-	Severe acute respiratory syndrome coronavirus 2	^([A-Za-z0-9]+( [A-Za-z0-9]+)+)$
infraspecific_name	siteQC_HIVE.tsv	optional	#root/infraspecific_name	infraspecific_name	string	N/A	-	isolate Wuhan-Hu-1	^([A-Za-z0-9]+( [A-Za-z0-9]+)+)$
lineage	siteQC_HIVE.tsv	optional	#root/lineage	lineage	string	N/A	-	Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus|Severe acute respiratory syndrome-related coronavirus	^.*$
taxonomy_id	siteQC_HIVE.tsv	required	#root/taxonomy_id	taxonomy_id	string	N/A	-	2697049	^[0-9]+$
bco_id	siteQC_HIVE.tsv	required	#root/bco_id	bco_id	string	N/A	-	ARGOS_000011	^.*$
schema_version	siteQC_HIVE.tsv	required	#root/schema_version	schema_version	string	N/A	-	v0.9	^.*$
analysis_platform	siteQC_HIVE.tsv	required	#root/analysis_platform	analysis_platform	string	N/A	-	HIVE 1 | HIVE 2 | HIVE AWS | Galaxy	^.*$
analysis_platform_object_id	siteQC_HIVE.tsv	optional	#root/analysis_platform_object_id	analysis_platform_object_id	string	43172-43172	-	39658	^[0-9]+$
bioproject	siteQC_HIVE.tsv	optional	#root/bioproject	bioproject	string	N/A	-	PRJNA603194	^[A-Za-z0-9]+$
biosample	siteQC_HIVE.tsv	optional	#root/biosample	biosample	string	N/A	-	SAMN13922059	^[A-Za-z0-9]+$
sra_run_id	siteQC_HIVE.tsv	required	#root/sra_run_id	sra_run_id	string	N/A	-	SRR10971381	^[A-Za-z0-9]+$
ngs_read_file_name	siteQC_HIVE.tsv	required	#root/ngs_read_file_name	ngs_read_file_name	string	N/A	-	SRR10971381_1.fastq	^.*$
ngs_read_file_source	siteQC_HIVE.tsv	required	#root/ngs_read_file_source	ngs_read_file_source	string	N/A	-	SRA	^[A-Za-z]+$
genome_assembly_id	siteQC_HIVE.tsv	required	#root/genome_assembly_id	genome_assembly_id	string	N/A	-	GCA_001558355.2	^.*$
genomic_coordinates_start	siteQC_HIVE.tsv	optional	#root/genomic_coordinate_start	genomic_coordinate_start	string	N/A	-	23063	^[0-9]+$
genomic_coordinates_end	siteQC_HIVE.tsv	optional	#root/genomic_coordinates_end	genomic_coordinates_end	int	1-100000	-	23063	^[0-9]+$
protein_coordinates_start	siteQC_HIVE.tsv	optional	#root/protein_coordinates_start	protein_coordinates_start	int	N/A	-	501	^[0-9]+$
protein_coordinates_end	siteQC_HIVE.tsv	optional	#root/protein_coordinates_end	protein_coordinates_end	int	N/A	-	502	^[0-9]+$
seq_feature_tag	siteQC_HIVE.tsv	optional	#root/seq_feature_tag	seq_feature_tag	string	N/A	-	NA	^.*$
seq_feature_value	siteQC_HIVE.tsv	optional	#root/seq_feature_value	seq_feature_value	string	N/A	-	NA	^.*$
wt_nucleotide	siteQC_HIVE.tsv	required	#root/wt_nucleotide	wt_nucleotide	string	N/A	-	A	^[A-Za-z]+$
alt_nucleotide	siteQC_HIVE.tsv	required	#root/alt_nucleotide	alt_nucleotide	string	N/A	-	T	^[A-Za-z]+$
wt_codon	siteQC_HIVE.tsv	required	#root/wt_codon	wt_codon	string	N/A	-	AAT	^[A-Za-z]+$
alt_codon	siteQC_HIVE.tsv	required	#root/alt_codon	alt_codon	string	N/A	-	TAT	^[A-Za-z]+$
wt_amino_acid	siteQC_HIVE.tsv	required	#root/wt_amino_acid	wt_amino_acid	string	N/A	-	N	^[A-Za-z]+$
alt_amino_acid	siteQC_HIVE.tsv	required	#root/alt_amino_acid	alt_amino_acid	string	N/A	-	Y	^[A-Za-z]+$
annotation	siteQC_HIVE.tsv	required	#root/annotation	annotation	string	N/A	-	Enhanced Infectivity Mutation	^([A-Za-z0-9]+( [A-Za-z0-9]+)+)$
read_coverage	siteQC_HIVE.tsv	required	#root/read_coverage	read_coverage	int	1-100000	-	691	^[0-9]+$
frequency	siteQC_HIVE.tsv	required	#root/frequency	frequency	float	0.0-100.0	-	0.9986	^[0-9]*\.[0-9]+$
protein_accession	siteQC_HIVE.tsv	optional	#root/protein_accession	protein_accession	string	N/A	-	YP_009724390.1	^.*$
count_major_mutations	siteQC_HIVE.tsv	optional	#root/count_major_mutations	count_major_mutations	int	0-100000	-	NA	^.*$
count_major_indels	siteQC_HIVE.tsv	optional	#root/count_major_indels	count_major_indels	int	0-100000	-	NA	^.*$
site_score	siteQC_HIVE.tsv	optional	#root/site_score	site_score	int	1-200	-	33	^[0-9]+$
organism_name	assemblyQC_NCBI.tsv	required	#root/organism_name	organism_name	string	N/A	-	Severe acute respiratory syndrome coronavirus 2	^([A-Za-z0-9]+( [A-Za-z0-9]+)+)$
infraspecific_name	assemblyQC_NCBI.tsv	optional	#root/infraspecific_name	infraspecific_name	string	N/A	-	isolate Wuhan-Hu-1	^([A-Za-z0-9]+( [A-Za-z0-9]+)+)$
lineage	assemblyQC_NCBI.tsv	required	#root/lineage	lineage	string	N/A	-	Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus|Severe acute respiratory syndrome-related coronavirus	^.*$
assembled_genome_acc	assemblyQC_NCBI.tsv	required	#root/assembled_genome_acc	assembled_genome_acc	string	N/A	-	ARG_000001	^.*$
genome_assembly_id	assemblyQC_NCBI.tsv	required	#root/genome_assembly_id	genome_assembly_id	string	N/A	-	GCA_009858895.3	^.*$
taxonomy_id	assemblyQC_NCBI.tsv	required	#root/taxonomy_id	taxonomy_id	int	N/A	-	2697049	^[0-9]+$
bco_id	assemblyQC_NCBI.tsv	required	#root/bco_id	bco_id	string	N/A	-	ARGOS_000012	^.*$
schema_version	assemblyQC_NCBI.tsv	required	#root/schema_version	schema_version	string	N/A	-	v0.9	^.*$
analysis_platform	assemblyQC_NCBI.tsv	required	#root/analysis_platform	analysis_platform	string	N/A	-	HIVE 1 | HIVE 2 | HIVE AWS | Galaxy	^.*$
analysis_platform_object_id	assemblyQC_NCBI.tsv	optional	#root/analysis_platform_object_id	analysis_platform_object_id	string	NA	-	39658	^[0-9]+$
assembly_file_source	assemblyQC_NCBI.tsv	required	#root/assembly_file_source	assembly_file_source	string	N/A	-	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/102/975/GCA_003102975.1_ASM310297v1/	^.*$
genomic_section	assemblyQC_NCBI.tsv	required	#root/genomic_section	genomic_section	string	N/A		PB2	^[A-Za-z0-9]+$
num_chromosomes	assemblyQC_NCBI.tsv	optional	#root/num_chromosomes	num_chromosomes	int	1-100	-	8	^[0-9]+$
num_genes	assemblyQC_NCBI.tsv	optional	#root/num_genes	num_genes	int	1-1000000	-	9	^[0-9]+$
assembly_gc_content	assemblyQC_NCBI.tsv	required	#root/assembly_gc_content	assembly_gc_content	float	0.0-1.0	-	29.903	^[0-9]*\.[0-9]+$
length	assemblyQC_NCBI.tsv	optional	#root/length	length	int	0-1000000000	-	13588	^[0-9]+$
genome_coverage	assemblyQC_NCBI.tsv	optional	#root/genome_coverage	genome_coverage	float	0.0-100.0	-	94.45	^[0-9]*\.[0-9]+$
n50 	assemblyQC_NCBI.tsv	optional	#root/n50	n50	int	0-100000	-	2233	^[0-9]+$
n75	assemblyQC_NCBI.tsv	optional	#root/n75	n75	int	0-100000	-	1565	^[0-9]+$
n90	assemblyQC_NCBI.tsv	optional	#root/n90	n90	int	0-100000	-	1027	^[0-9]+$
l50 	assemblyQC_NCBI.tsv	optional	#root/l50	l50	int	1-1000000	-	3	^[0-9]+$
l75	assemblyQC_NCBI.tsv	optional	#root/l75	l75	int	1-1000000	-	5	^[0-9]+$
assembly_type	assemblyQC_NCBI.tsv	optional	#root/assembly_type	assembly_type	string	N/A	-	Haploid 	^.*$
assembly_level	assemblyQC_NCBI.tsv	optional	#root/assembly_level	assembly_level	string	N/A	-	Complete Genome	^.*$
organism_name	biosampleMeta_NCBI.tsv	required	#root/organism_name	organism_name	string	N/A	-	Severe acute respiratory syndrome coronavirus 2	^([A-Za-z0-9]+( [A-Za-z0-9]+)+)$
infraspecific_name	biosampleMeta_NCBI.tsv	optional	#root/infraspecific_name	infraspecific_name	string	N/A	-	isolate Wuhan-Hu-1	^([A-Za-z0-9]+( [A-Za-z0-9]+)+)$
lineage	biosampleMeta_NCBI.tsv	optional	#root/lineage	lineage	string	N/A	-	Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus|Severe acute respiratory syndrome-related coronavirus	^.*$
taxonomy_id	biosampleMeta_NCBI.tsv	required	#root/taxonomy_id	taxonomy_id	int	N/A	-	433733	^[0-9]+$
bco_id	biosampleMeta_NCBI.tsv	required	#root/bco_id	bco_id	string	N/A	-	ARGOS_000020	^.*$
schema_version	biosampleMeta_NCBI.tsv	required	#root/schema_version	schema_version	string	N/A	-	v0.9	^.*$
bioproject	biosampleMeta_NCBI.tsv	required	#root/bioproject	bioproject	string	N/A	-	PRJNA603194	^[A-Za-z0-9]+$
biosample	biosampleMeta_NCBI.tsv	required	#root/biosample	biosample	string	N/A	-	SAMN13922059	^[A-Za-z0-9]+$
strain	biosampleMeta_NCBI.tsv	optional	#root/strain	strain	string	N/A	-	FDAARGOS_94	^.*$
genome_assembly_id	biosampleMeta_NCBI.tsv	optional	#root/genome_assembly_id	genome_assembly_id	string	N/A	-	GCA_009858895.3	^.*$
sample_name	biosampleMeta_NCBI.tsv	optional	#root/sample_name	sample_name	string	N/A	-	human bronchoalveolar lavage fluid	^.*$
instrument	biosampleMeta_NCBI.tsv	optional	#root/instrument	instrument	string	N/A	-	Illumina MiniSeq	^.*$
isolate	biosampleMeta_NCBI.tsv	optional	#root/isolate	isolate	string	N/A	-	Monkeypox Virus/USA-2003	^.*$
collected_by	biosampleMeta_NCBI.tsv	optional	#root/collected_by	collected_by	string	N/A	-	Fudan University	^.*$
collection_date	biosampleMeta_NCBI.tsv	optional	#root/collection_date	collection_date	string	N/A	-	2/20/20	^.*$
geo_loc_name	biosampleMeta_NCBI.tsv	optional	#root/geo_loc_name	geo_loc_name	string	N/A	-	China: Wuhan	^.*$
isolation_source	biosampleMeta_NCBI.tsv	optional	#root/isolation_source	isolation_source	string	N/A	-	human lung metagenome	^.*$
lat_lon	biosampleMeta_NCBI.tsv	optional	#root/lat_lon	lat_lon	string	N/A	-	NA	^.*$
culture_collection	biosampleMeta_NCBI.tsv	optional	#root/culture_collection	culture_collection	string	N/A	-	FDA:FDAARGOS_855	^.*$
host	biosampleMeta_NCBI.tsv	optional	#root/host	host	string	N/A	-	9606	^.*$
host_age	biosampleMeta_NCBI.tsv	optional	#root/host_age	host_age	int	0-200	-	16M	^.*$
host_description	biosampleMeta_NCBI.tsv	optional	#root/host_description	host_description	string	N/A	-	NA	^.*$
host_disease	biosampleMeta_NCBI.tsv	optional	#root/host_disease	host_disease	string	N/A	-	Monkeypox Virus Disease	^.*$
host_disease_outcome	biosampleMeta_NCBI.tsv	optional	#root/host_disease_outcome	host_disease_outcome	string	N/A	-	NA	^.*$
host_disease_stage	biosampleMeta_NCBI.tsv	optional	#root/host_disease_stage	host_disease_stage	string	N/A	-	NA	^.*$
host_health_state	biosampleMeta_NCBI.tsv	optional	#root/host_health_state	host_health_state	string	N/A	-	NA	^.*$
host_sex	biosampleMeta_NCBI.tsv	optional	#root/host_sex	host_sex	string	N/A	-	Male | Female 	^.*$
id_method	biosampleMeta_NCBI.tsv	optional	#root/identification_method	identification_method	string	N/A	-	RT-PCR and Amplicon Sequencing|Phenotypic and Molecular Methods	^.*$
organism_name	ngsQC_NCBI.tsv	required	#root/organism_name	organism_name	string	N/A	-	Severe acute respiratory syndrome coronavirus 2	^([A-Za-z0-9]+( [A-Za-z0-9]+)+)$
infraspecific_name	ngsQC_NCBI.tsv	optional	#root/infraspecific_name	infraspecific_name	string	N/A	-	isolate Wuhan-Hu-1	^([A-Za-z0-9]+( [A-Za-z0-9]+)+)$
lineage	ngsQC_NCBI.tsv	optional	#root/lineage	lineage	string	N/A	-	Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus|Severe acute respiratory syndrome-related coronavirus	^.*$
genome_assembly_id	ngsQC_NCBI.tsv	optional	#root/genome_assembly_id	genome_assembly_id	string	N/A	-	GCA_009858895.3	^.*$
taxonomy_id	ngsQC_NCBI.tsv	required	#root/taxonomy_id	taxonomy_id	int	N/A	-	2697049	^[0-9]+$
bco_id	ngsQC_NCBI.tsv	required	#root/bco_id	bco_id	string	N/A	-	ARGOS_000019	^.*$
schema_version	ngsQC_NCBI.tsv	required	#root/schema_version	schema_version	string	N/A	-	v0.9	^.*$
analysis_platform	ngsQC_NCBI.tsv	required	#root/analysis_platform	analysis_platform	string	N/A	-	HIVE 1 | HIVE 2 | HIVE AWS | Galaxy	^.*$
analysis_platform_object_id	ngsQC_NCBI.tsv	optional	#root/analysis_platform_object_id	analysis_platform_object_id	string	43172-43172	-	39658	^[0-9]+$
bioproject	ngsQC_NCBI.tsv	required	#root/bioproject	bioproject	string	N/A	-	PRJNA603194	^[A-Za-z0-9]+$
biosample	ngsQC_NCBI.tsv	required	#root/biosample	biosample	string	N/A	-	SAMN13922059	^[A-Za-z0-9]+$
strain	ngsQC_NCBI.tsv	optional	#root/strain	strain	string	N/A	-	FDAARGOS_94	^.*$
sra_run_id	ngsQC_NCBI.tsv	required	#root/sra_run_id	sra_run_id	string	N/A	-	SRR10971381	^[A-Za-z0-9]+$
