property	data_files	recommended	description	source_or_type_def																					
reference_coverage_against_query	assemblyQC*	Yi FDA/Raja	"The coverage results of a BLAST search for the refseq for that organism against the assembly being QC'd, or the percent of the reference sequence that overlaps with the query assembly."	HIVE																					
percent_identity_against_reference	assemblyQC*	Yi FDA/Raja	" A percentage amount of the query assembly sequence that matched with the reference sequence, or the extent to which the query and reference have the same residues at the same positions when aligned."	HIVE																					
assembly_type	assemblyQC*	from NCBI Assembly	"haploid, haploid-with-alt-loci (a haploid assembly with alternative loci, for example as provided by the Genome Reference Consortium for the human genome), diploid, unresolved diploid, or alternate pseudohaplotype. See the NCBI Assembly Data Model for a definition of these terms."	HIVE																					
assembly_level	assemblyQC*	from NCBI Assembly	The highest level of assembly for any object in the assembly.	HIVE																					
assembly_score	assemblyQC*	Robel/Raja	Internally developed scores used to evaluate the quality and / or quantity of the information present for a particular entry. Scoring criteria may vary per core data set	Argos Team 																					
instrument	ngsQC*	HIVE	Name of instrument used for NGS.	HIVE																					
strategy	ngsQC*	HIVE	Strategy/method used to generate the NGS. Controled vocabulary consisting of the following terms: WGA WGS WXS RNA-Seq miRNA-Seq WCS CLONE POOLCLONE AMPLICON CLONEEND FINISHING ChIP-Seq MNase-Seq DNase-Hypersensitivity Bisulfite-Seq Tn-Seq EST FL-cDNA CTS MRE-Seq MeDIP-Seq MBD-Seq Synthetic-Long-Read OTHER	HIVE																					
ngs_gc_content	ngsQC*	Yi FDA GC & Vahan	GC content of the individual fastq files in ngsQC.	HIVE 																					
avg_phred_score	ngsQC*	HIVE	Average quality (in phred score) of sequences in a FASTQ read file.	HIVE																					
min_read_length	ngsQC*	HIVE	Length (in base pairs) of the shortest sequence(s) in a FASTA/FASTQ read file.	HIVE																					
pos_outlier_count	ngsQC*	HIVE	Count of positions the quality of which is significantly different (extremely low or high).	HIVE																					
num_reads_unique	ngsQC*	HIVE	Number of unique reads that are not identical to other reads.	HIVE																					
avg_read_length	ngsQC*	HIVE	Average length of sequences in a FASTA/FASTQ read file.	HIVE																					
max_read_length	ngsQC*	HIVE	Length (in base pairs) of longest sequence(s) present in a FASTA/FASTQ read file.	HIVE																					
wgs_accession	ngsQC*	HIVE	NCBI Whole Genome Shotgun (WGS) accession number.	HIVE																					
codon_table	ngsQC*	HIVE	"A list containing the different types of DNA sequences, including Standard, Vertebrate Mitochondrial, Yeast Mitochondrial, etc."	HIVE																					
percent_coding	ngsQC*	HIVE	The relative frequency of sequences that are protein coding for each DNA sequence type.	HIVE																					
percent_not_coding	ngsQC*	HIVE	The relative frequency of sequences that are not protein coding for each DNA sequence type.	HIVE																					
density_n_per_read	ngsQC*	HIVE	A list of density values of Ns per sequence read.	HIVE																					
complexity_percent	ngsQC*	HIVE	Percentage of sequences that are complex.	HIVE																					
non_complex_percent	ngsQC*	HIVE	Percentage of sequences that are not complex.	HIVE																					
avg_quality_a	ngsQC*	HIVE	The average cumulative quality score of adenine in the NGS.	HIVE																					
avg_quality_t	ngsQC*	HIVE	The average cumulative quality score of thiamine in the NGS.	HIVE																					
avg_quality_g	ngsQC*	HIVE	The average cumulative quality score of guanine in the NGS.	HIVE																					
avg_quality_c	ngsQC*	HIVE	The average cumulative quality score of cytosine in the NGS.	HIVE																					
count_a	ngsQC*	HIVE	The total count of adenines in the NGS.	HIVE																					
count_c	ngsQC*	HIVE	The total count of cytosines in the NGS.	HIVE																					
count_g	ngsQC*	HIVE	The total count of guanines in the NGS.	HIVE																					
count_t	ngsQC*	HIVE	The total count of thiamaines in the NGS.	HIVE																					
ngs_score	ngsQC*	Raja	Internally developed scores used to evaluate the quality and / or quantity of the information present for a particular entry. Scoring criteria may vary per core data set	ARGOS Team 																					
source	siteQC*	SRA	"Source of genomic information in the file. From an SRA controled vocabulary: GENOMIC: [Genomic DNA (includes PCR products from genomic DNA)], TRANSCRIPTOMIC: [Transcription products or non genomic DNA (EST, cDNA, RT-PCR, screened libraries)], METAGENOMIC : [Mixed material from metagenome], METATRANSCRIPTOMIC: [Transcription products from community targets], SYNTHETIC: [Synthetic DNA], VIRAL RNA: [Viral RNA], OTHER:[Other, unspecified, or unknown library source material (please include additional info in the “design description”)]"	NCBI SRA																					
genomic_coordinates_start	siteQC*	Vahan	Start position for this feature in the genome file	HIVE																					
genomic_coordinates_end	siteQC*	Vahan	End position for this feature in the genome file	HIVE																					
protein_coordinates_start	siteQC*	Vahan	Start position for this feature in the proteome file	HIVE																					
protein_coordinates_end	siteQC*	Vahan	End position for this feature in the proteome file	HIVE																					
seq_feature_tag	siteQC*	Vahan	"Tags associated with this feature. Can be coverage, quality|entropy, mutations,indels, tailsd, disbalance, aniusotropyu, partiality"	HIVE																					
seq_feature_value	siteQC*	Vahan	Values for the tag associated with this feature	HIVE																					
wt_nucleotide	siteQC*	Raja	Nucleotide at position of interest in wild type sample	ARGOS Team 																					
alt_nucleotide	siteQC*	Raja	Nucleotide at position of interest in alternate sample	ARGOS Team 																					
wt_codon	siteQC*	Raja	Codon at position of interest in wild type sample	ARGOS Team 																					
alt_codon	siteQC*	Raja	Codon at position of interest in alternate sample	ARGOS Team 																					
wt_amino_acid	siteQC*	Raja	Amino acid at position of interest in wild type sample	ARGOS Team 																					
alt_amino_acid	siteQC*	Raja	Amino acid at position of interest in alternate sample	ARGOS Team 																					
annotation	siteQC*	Raja	Explanation or justification for analysis of this specific site	ARGOS Team 																					
read_coverage	siteQC*	Raja	Number of unique reads that include a specific nucleotide	ARGOS Team 																					
frequency	siteQC*	Raja	Frequency of a specific nucleotide variation with respect to the number of occurences of the specific variation	ARGOS Team 																					
codon_reference	siteQC*	Raja	Correct codon reading frame at site	UniProt																					
protein_accession	siteQC*	Raja	Protein accession from UniProt	UniProt																					
sra_run_id	siteQC*	Raja	The SRA run accession for a set of fastq files 	ARGOS Team																					
count_major_mutations	siteQC*	Raja	Count of major mutations	HIVE																					
count_major_indels	siteQC*	Raja	Count of insertions or deletions	HIVE																					
site_score	siteQC*	Raja	Internally developed scores used to evaluate the quality and / or quantity of the information present for a particular entry. Scoring criteria may vary per core data set	ARGOS Team																					
ref_org	ngs_id_list.tsv	Raja	Internally determined as 'concensus reference organism' used as a standard while building and testing Argos QC pipelines. 	ARGOS Team																					
isolate_identifiers	ngs_id_list.tsv	Raja	Isolate accession for each pathogen genome	Pathogen Detection system																					
selection_notes	ngs_id_list.tsv	Raja	Notes describing why SRR was analyzed	ARGOS Team																					
lab_name	ngs_id_list.tsv	Raja	Lab group that ran ngs computation	ARGOS Team																					
files_processed	ngs_id_list.tsv	Raja	Denotes if SRR has been published on argosdb	ARGOS Team																					
sample_name	biosampleMeta*	NCBI Biosample DB	sample name in source database	NCBI BioSample DB																					
isolate	biosampleMeta*	NCBI Biosample DB	identification or description of the specific individual from which this sample was obtained	NCBI BioSample DB																					
collected_by	biosampleMeta*	NCBI Biosample DB	Name of persons or institute who collected the sample	NCBI BioSample DB																					
collection_date	biosampleMeta*	NCBI Biosample DB	"the date on which the sample was collected; date/time ranges are supported by providing two dates from among the supported value formats, delimited by a forward-slash character; collection times are supported by adding ""T"", then the hour and minute after the date, and must be in Coordinated Universal Time (UTC),"	NCBI BioSample DB																					
geo_loc_name	biosampleMeta*	NCBI Biosample DB	Geographical origin of the sample; use the appropriate name from this list http://www.insdc.org/documents/country-qualifier-vocabulary. 	NCBI BioSample DB																					
isolation_source	biosampleMeta*	NCBI Biosample DB	"Describes the physical, environmental and/or local geographical source of the biological sample from which the sample was derived."	NCBI BioSample DB																					
lat_lon	biosampleMeta*	NCBI Biosample DB	The geographical coordinates of the location where the sample was collected.	NCBI BioSample DB																					
culture_collection	biosampleMeta*	NCBI Biosample DB	"Name of source institute and unique culture identifier. See the description for the proper format and list of allowed institutes, http://www.insdc.org/controlled-vocabulary-culturecollection-qualifier"	NCBI BioSample DB																					
host_age	biosampleMeta*	NCBI Biosample DB	Age of host at the time of sampling	NCBI BioSample DB																					
host_description	biosampleMeta*	NCBI Biosample DB	Additional information not included in other defined vocabulary fields	NCBI BioSample DB																					
host_disease	biosampleMeta*	NCBI Biosample DB	"Name of relevant disease, e.g. Salmonella gastroenteritis. Controlled vocabulary, http://bioportal.bioontology.org/ontologies/1009 or http://www.ncbi.nlm.nih.gov/mesh"	NCBI BioSample DB																					
host_disease_outcome	biosampleMeta*	NCBI Biosample DB	"Final outcome of disease, e.g., death, chronic disease, recovery"	NCBI BioSample DB																					
host_disease_stage	biosampleMeta*	NCBI Biosample DB	Stage of disease at the time of sampling	NCBI BioSample DB																					
host_health_state	biosampleMeta*	NCBI Biosample DB	Information regarding health state of the individual sampled at the time of sampling	NCBI BioSample DB																					
host_sex	biosampleMeta*	NCBI Biosample DB	Gender or physical sex of the host	NCBI BioSample DB																					
biosample_score	biosampleMeta*	Raja	Internally developed scores used to evaluate the quality and / or quantity of the information present for a particular entry. Scoring criteria may vary per core data set	ARGOS Team																					
type_material	SRA_biosample.tsv	NCBI Biosample DB	Material used for species identification method.	NCBI BioSample DB																					
uniprotkb_canonical_ac	sars-cov-2_lineage_mutations.tsv	https://cov-lineages.org/	"Uniprot canonical sequence accession. To reduce redundancy, the UniProtKB/Swiss-Prot policy is to describe all the protein products encoded by one gene in a given species in a single entry."	https://cov-lineages.org/																					
found_in	sars-cov-2_lineage_mutations.tsv	https://cov-lineages.org/	-	https://cov-lineages.org/																					
gene_name	sars-cov-2_lineage_mutations.tsv	https://cov-lineages.org/	-	https://cov-lineages.org/																					
protein_name	sars-cov-2_lineage_mutations.tsv	https://cov-lineages.org/	-	https://cov-lineages.org/																					
evidence_ECO0000313	sars-cov-2_lineage_mutations.tsv	https://cov-lineages.org/	-	https://cov-lineages.org/																					
begin_aa_pos	sars-cov-2_lineage_mutations.tsv	https://cov-lineages.org/	-	https://cov-lineages.org/																					
end_aa_pos	sars-cov-2_lineage_mutations.tsv	https://cov-lineages.org/	-	https://cov-lineages.org/																					
mutation_type	sars-cov-2_lineage_mutations.tsv	https://cov-lineages.org/	-	https://cov-lineages.org/																					
is_known_glycoprotein	sars-cov-2_lineage_mutations.tsv	https://cov-lineages.org/	-	https://cov-lineages.org/																					
motif_start	sars-cov-2_lineage_mutations.tsv	https://cov-lineages.org/	-	https://cov-lineages.org/																					
ref_motif	sars-cov-2_lineage_mutations.tsv	https://cov-lineages.org/	-	https://cov-lineages.org/																					
alt_motif	sars-cov-2_lineage_mutations.tsv	https://cov-lineages.org/	-	https://cov-lineages.org/																					
effect	sars-cov-2_lineage_mutations.tsv	https://cov-lineages.org/	-	https://cov-lineages.org/																					
note	sars-cov-2_lineage_mutations.tsv	https://cov-lineages.org/	-	https://cov-lineages.org/																					
entry_name	proteome_metadata.csv*|uniprot-proteome.csv* 	Raja	protein name	UniProt																					
status	proteome_metadata.csv*|uniprot-proteome.csv* 	Raja	Reviewed or unreviewed	UniProt																					
protein_names	proteome_metadata.csv*|uniprot-proteome.csv* 	Raja	name of protein	UniProt																					
gene_names	proteome_metadata.csv*|uniprot-proteome.csv* 	Raja	List of gene names associated with this protein	UniProt																					
uniprotkb_ac	proteome_metadata.csv*|uniprot-proteome.csv* 	Raja	accession for the protein	UniProt																					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
