property	data_object	required	id	title	type	default	examples	pattern	description
found_in	sars-cov-2_lineage_mutations.tsv	required	#root/found_in	found_in	string	-	"Omicron (21K, BA.1)"	^.*$	-
gene_name	sars-cov-2_lineage_mutations.tsv	required	#root/gene_name	gene_name	string	-	S	^.*$	-
protein_name	sars-cov-2_lineage_mutations.tsv	required	#root/protein_name	protein_name	string	-	Spike glycoprotein	^.*$	-
evidence_ECO0000313	sars-cov-2_lineage_mutations.tsv	required	#root/evidence_ECO0000313	evidence_ECO0000313	string	-	CoVariants	^.*$	-
begin_aa_pos	sars-cov-2_lineage_mutations.tsv	required	#root/begin_aa_pos	begin_aa_pos	string	-	67	^.*$	-
end_aa_pos	sars-cov-2_lineage_mutations.tsv	required	#root/end_aa_pos	end_aa_pos	string	-	67	^.*$	-
mutation_type	sars-cov-2_lineage_mutations.tsv	required	#root/mutation_type	mutation_type	string	-	missense	^.*$	-
is_known_glycoprotein	sars-cov-2_lineage_mutations.tsv	required	#root/is_known_glycoprotein	is_known_glycoprotein	string	-	yes	^.*$	-
motif_start	sars-cov-2_lineage_mutations.tsv	required	#root/motif_start	motif_start	string	-	67	^.*$	-
ref_motif	sars-cov-2_lineage_mutations.tsv	required	#root/ref_motif	ref_motif	string	-	A	^.*$	-
alt_motif	sars-cov-2_lineage_mutations.tsv	required	#root/alt_motif	alt_motif	string	-	V	^.*$	-
effect	sars-cov-2_lineage_mutations.tsv	required	#root/effect	effect	string	-	-	^.*$	-
note	sars-cov-2_lineage_mutations.tsv	required	#root/note	note	string	-	-	^.*$	-
organism_name	ngs_ID_list.tsv	required	#root/note	organism_name	string	-	Severe acute respiratory syndrome coronavirus 3	^.*$	-
leaf_node	ngs_ID_list.tsv	required	#root/note	Leaf Node	string	-	B.1.1.529/Omicron isolate	^.*$	-
genome_assembly_id	ngs_ID_list.tsv	required	#root/genome_assembly_id	genome_assembly_id	string	-	GCA_013267415.1	^.*$	-
taxonomy_id	ngs_ID_list.tsv	required	#root/taxonomy_id	taxonomy_id	string	-	2697049	^[2-9]|[1-9]\d+$	-
sra_run_id	ngs_ID_list.tsv	required	#root/note	SRA Run ID	string	-	SRR17309642	^\+SRR.+	-
selection_notes	ngs_ID_list.tsv	required	#root/note	Selection Notes	string	-	"For omicron, we are selecting EPI_ISL_6913953. Sequencing was conducted on Illumina MiSeq, has high coverage, and a consistent quality score across all base calls above 30. Raw reads are available at https://www.ncbi.nlm.nih.gov/sra/SRX13486794, and a full description of the patient harboring the virus is supplied with the following publication https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciab1072/6494531?login=true. The patient was one of the first two known COVID-19 cases classified as omicron in Japan. To put the collection date of 28 November 2021 in perspective, the first known omicron sample was collected on 8 November 2021. Raw reads from South Africa are available, but the average phred quality score is much lower for those samples."	^.*$	-
fdaargos_id	ngs_ID_list.tsv	optional	#root/fdaargos_id	fdaargos_id	string	-	ARGID00006	^[a-zA-Z]+[0-9]+$	-
lab_name	ngs_ID_list.tsv	required	#root/note	Lab Name	string	-	Pond Lab	(Pond Lab|Crandall Lab|HIVE Lab)	-
files_processed	ngs_ID_list.tsv	required	#root/processed	processed	string	-	ngsQC_HL|assemblyQC_HL|siteQC_HL|biosampleMeta_HL	(ngsQC_HL|assemblyQC_HL|siteQC_HL|biosampleMeta_HL)	-
biosample	SRA_biosample	required	#root/biosample	biosample	string	-	SAMN16357302	^.*$	-
organism_name	SRA_biosample	required	#root/organism_name	organism_name	string	-	Pediococcus acidilactici	^.*$	-
strain	SRA_biosample	required	#root/strain	strain	string	-	FDAARGOS_1133	^.*$	-
sample_name	SRA_biosample	required	#root/sample_name	sample_name	string	-	FDAARGOS_1133	^.*$	-
taxonomy_id	SRA_biosample	required	#root/taxonomy_id	taxonomy_id	string	-	1254	^.*$	-
isolate	SRA_biosample	required	#root/isolate	isolate	string	-	Not applicable	^.*$	-
collected_by	SRA_biosample	required	#root/collected_by	collected_by	string	-	DSMZ	^.*$	-
collection_date	SRA_biosample	required	#root/collection_date	collection_date	string	-	Unknown	^.*$	-
geo_loc_name	SRA_biosample	required	#root/geo_loc_name	geo_loc_name	string	-	Germany: Braunschweig	^.*$	-
isolation_source	SRA_biosample	required	#root/isolation_source	isolation_source	string	-	missing	^.*$	-
lat_lon	SRA_biosample	required	#root/lat_lon	lat_lon	string	-	Not applicable	^.*$	-
culture_collection	SRA_biosample	required	#root/culture_collection	culture_collection	string	-	DSM:20284	^.*$	-
host	SRA_biosample	required	#root/host	host	string	-	missing	^.*$	-
host_age	SRA_biosample	required	#root/host_age	host_age	string	-	Unknown	^.*$	-
host_description	SRA_biosample	required	#root/host_description	host_description	string	-	Not applicable	^.*$	-
host_disease	SRA_biosample	required	#root/host_disease	host_disease	string	-	Unknown	^.*$	-
host_disease_outcome	SRA_biosample	required	#root/host_disease_outcome	host_disease_outcome	string	-	Unknown	^.*$	-
host_disease_stage	SRA_biosample	required	#root/host_disease_stage	host_disease_stage	string	-	Unknown	^.*$	-
host_health_state	SRA_biosample	required	#root/host_health_state	host_health_state	string	-	Unknown	^.*$	-
host_sex	SRA_biosample	required	#root/host_sex	host_sex	string	-	Unknown	^.*$	-
id_method	SRA_biosample	required	#root/id_method	id_method	string	-	Phenotypic and Molecular Methods	^.*$	-
type_material	SRA_biosample	required	#root/type_material	type_material	string	-	neotype strain of Pediococcus acidilactici	^.*$	-
uniprotkb_ac	uniprot-proteome_*.csv	required	#root/uniprotkb_ac 	uniprotkb_ac 	string	-	P03466	^.*$	-
entry_name	uniprot-proteome_*.csv	required	#root/entry_name 	entry_name 	string	-	RDRP_I34A1	^.*$	-
status	uniprot-proteome_*.csv	required	#root/status 	status 	string	-	reviewed	^.*$	-
protein_names	uniprot-proteome_*.csv	required	#root/protein_names 	protein_names 	string	-	RNA-directed RNA polymerase catalytic subunit (EC 2.7.7.48) (Polymerase basic protein 1) (PB1) (RNA-directed RNA polymerase subunit P1)	^.*$	-
gene_names	uniprot-proteome_*.csv	required	#root/gene_names 	gene_names 	string	-	PB1	^.*$	-
organism_name	uniprot-proteome_*.csv	required	#root/organism 	organism 	string	-	Influenza A virus (strain A/Puerto Rico/8/1934 H1N1)	^.*$	-
length	uniprot-proteome_*.csv	required	#root/length 	length 	string	-	498	^.*$	-
