organism_name	infraspecific_name	lineage	taxonomy_id	bco_id	schema_version	bioproject	biosample	strain	sra_run_id	genome_assembly_id	sample_name	instrument	isolate	collected_by	collection_date	geo_loc_name	isolation_source	lat_lon	culture_collection	host	host_age	host_description	host_disease	host_disease_outcome	host_disease_stage	host_health_state	host_sex	id_method
Clostridium perfringens	Not applicable	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	1502	ARGOS_000091	v1.6	PRJNA231221	SAMN13450434	FDAARGOS_904	SRR12045574	GCF_016027155.1	Pathogen: clinical or host-associated sample from Clostridium perfringens	PacBio RS	Not applicable	DSMZ	Unknown	Not applicable	missing	Not applicable	DSM:798	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Candida albicans	Not applicable	Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Pichiomycetes; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5476	ARGOS_000091	v1.6	PRJNA231221	SAMN11056371	FDAARGOS_656	SRR9073720	GCA_014049485.1	Pathogen: clinical or host-associated sample from Candida albicans	Sequel	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_656	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Candida albicans	Not applicable	Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Pichiomycetes; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5476	ARGOS_000091	v1.6	PRJNA231221	SAMN11056371	FDAARGOS_656	SRR9073715	GCA_014049485.1	Pathogen: clinical or host-associated sample from Candida albicans	Illumina HiSeq 4000	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_656	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Candida albicans	Not applicable	Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Pichiomycetes; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5476	ARGOS_000091	v1.6	PRJNA231221	SAMN11056371	FDAARGOS_656	SRR9073717	GCA_014049485.1	Pathogen: clinical or host-associated sample from Candida albicans	PacBio RS	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_656	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Candida albicans	Not applicable	Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Pichiomycetes; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5476	ARGOS_000091	v1.6	PRJNA231221	SAMN11056371	FDAARGOS_656	SRR9073716	GCA_014049485.1	Pathogen: clinical or host-associated sample from Candida albicans	Illumina HiSeq 4000	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_656	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Candida albicans	Not applicable	Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Pichiomycetes; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5476	ARGOS_000091	v1.6	PRJNA231221	SAMN11056371	FDAARGOS_656	SRR9073719	GCA_014049485.1	Pathogen: clinical or host-associated sample from Candida albicans	PacBio RS	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_656	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Candida albicans	Not applicable	Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Pichiomycetes; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5476	ARGOS_000091	v1.6	PRJNA231221	SAMN11056371	FDAARGOS_656	SRR9073718	GCA_014049485.1	Pathogen: clinical or host-associated sample from Candida albicans	PacBio RS	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_656	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Clostridium sporogenes	Not applicable	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	1509	ARGOS_000091	v1.6	PRJNA231221	SAMN21218847	FDAARGOS_1491	SRR16249309	GCF_020099295.1	Pathogen: clinical or host-associated sample from Clostridium sporogenes	Illumina NovaSeq 6000	Not applicable	DSMZ	Unknown	Germany: Braunschweig	missing	Not applicable	DSM:1446	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Clostridium sporogenes	Not applicable	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	1509	ARGOS_000091	v1.6	PRJNA231221	SAMN21218847	FDAARGOS_1491	SRR16249310	GCF_020099295.1	Pathogen: clinical or host-associated sample from Clostridium sporogenes	Sequel	Not applicable	DSMZ	Unknown	Germany: Braunschweig	missing	Not applicable	DSM:1446	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Yersinia frederiksenii		Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	29484	ARGOS_000091	v1.6	PRJNA231221	SAMN07312462	FDAARGOS_418	SRR5879186	GCF_002591195.1	Pathogen: environmental/food/other sample from Yersinia frederiksenii	PacBio RS	Not Applicable	USAMRIID < MIDI < DCC < ATCC	Missing	Denmark	sewage	Not Applicable	FDA:FDAARGOS_418	Environment	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Phenotypic characterization
Yersinia frederiksenii		Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	29484	ARGOS_000091	v1.6	PRJNA231221	SAMN07312462	FDAARGOS_418	SRR5879185	GCF_002591195.1	Pathogen: environmental/food/other sample from Yersinia frederiksenii	Illumina HiSeq 4000	Not Applicable	USAMRIID < MIDI < DCC < ATCC	Missing	Denmark	sewage	Not Applicable	FDA:FDAARGOS_418	Environment	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Phenotypic characterization
Clostridium sporogenes	Not applicable	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	1509	ARGOS_000091	v1.6	PRJNA231221	SAMN20888887	FDAARGOS_1470	SRR16259736	GCF_019933215.1	Pathogen: clinical or host-associated sample from Clostridium sporogenes	Sequel	Not applicable	DSMZ	Unknown	Germany: Braunschweig	missing	Not applicable	DSM:1664	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Clostridium sporogenes	Not applicable	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	1509	ARGOS_000091	v1.6	PRJNA231221	SAMN20888887	FDAARGOS_1470	SRR16259737	GCF_019933215.1	Pathogen: clinical or host-associated sample from Clostridium sporogenes	Illumina NovaSeq 6000	Not applicable	DSMZ	Unknown	Germany: Braunschweig	missing	Not applicable	DSM:1664	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Clostridium sporogenes	Not applicable	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	1509	ARGOS_000091	v1.6	PRJNA231221	SAMN21402698	FDAARGOS_1531	SRR16249305	GCF_020341555.1	Pathogen: clinical or host-associated sample from Clostridium sporogenes	Illumina NovaSeq 6000	Not applicable	DSMZ	Unknown	Germany: Braunschweig	missing	Not applicable	DSM:767	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Clostridium sporogenes	Not applicable	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	1509	ARGOS_000091	v1.6	PRJNA231221	SAMN21402698	FDAARGOS_1531	SRR16249306	GCF_020341555.1	Pathogen: clinical or host-associated sample from Clostridium sporogenes	Sequel	Not applicable	DSMZ	Unknown	Germany: Braunschweig	missing	Not applicable	DSM:767	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Clostridium sporogenes	Not applicable	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	1509	ARGOS_000091	v1.6	PRJNA231221	SAMN21402699	FDAARGOS_1532	SRR16249311	GCF_020450145.1	Pathogen: clinical or host-associated sample from Clostridium sporogenes	Illumina NovaSeq 6000	Not applicable	DSMZ	Unknown	Germany: Braunschweig	missing	Not applicable	DSM:1734	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Clostridium sporogenes	Not applicable	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	1509	ARGOS_000091	v1.6	PRJNA231221	SAMN21402699	FDAARGOS_1532	SRR16249312	GCF_020450145.1	Pathogen: clinical or host-associated sample from Clostridium sporogenes	Sequel	Not applicable	DSMZ	Unknown	Germany: Braunschweig	missing	Not applicable	DSM:1734	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Clostridium sporogenes		Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	1509	ARGOS_000091	v1.6	PRJNA231221	SAMN07312467	FDAARGOS_423	SRR5879394	GCF_002588205.1	Pathogen: environmental/food/other sample from Clostridium sporogenes	PacBio RS	Not Applicable	ATCC < HD Vera	Missing	USA:VA	cotton plant	Not Applicable	ATCC:11437D-5	Environment	Not Applicable	Missing	Not Applicable	Missing	Missing	Missing	Not Applicable	Culture
Clostridium sporogenes		Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	1509	ARGOS_000091	v1.6	PRJNA231221	SAMN07312467	FDAARGOS_423	SRR5879392	GCF_002588205.1	Pathogen: environmental/food/other sample from Clostridium sporogenes	Illumina HiSeq 2500	Not Applicable	ATCC < HD Vera	Missing	USA:VA	cotton plant	Not Applicable	ATCC:11437D-5	Environment	Not Applicable	Missing	Not Applicable	Missing	Missing	Missing	Not Applicable	Culture
Yersinia kristensenii		Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	28152	ARGOS_000091	v1.6	PRJNA231221	SAMN07312459	FDAARGOS_415	SRR5878926	GCF_002554365.1	Pathogen: clinical or host-associated sample from Yersinia kristensenii	Illumina HiSeq 4000	Not Applicable	USAMRIID < ATCC < CDC	Missing	Missing	urine	Not Applicable	FDA:FDAARGOS_415	Homo sapiens	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Phenotypic characterization
Yersinia kristensenii		Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	28152	ARGOS_000091	v1.6	PRJNA231221	SAMN07312459	FDAARGOS_415	SRR5878927	GCF_002554365.1	Pathogen: clinical or host-associated sample from Yersinia kristensenii	PacBio RS	Not Applicable	USAMRIID < ATCC < CDC	Missing	Missing	urine	Not Applicable	FDA:FDAARGOS_415	Homo sapiens	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Phenotypic characterization
Yersinia frederiksenii		Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	29484	ARGOS_000091	v1.6	PRJNA231221	SAMN07312461	FDAARGOS_417	SRR5879183	GCF_002591095.1	Pathogen: clinical or host-associated sample from Yersinia frederiksenii	PacBio RS	Not Applicable	USAMRIID < MIDI < DCC < ATCC	Missing	Missing	human	Not Applicable	FDA:FDAARGOS_417	Homo sapiens	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Phenotypic characterization
Yersinia frederiksenii		Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	29484	ARGOS_000091	v1.6	PRJNA231221	SAMN07312461	FDAARGOS_417	SRR5879184	GCF_002591095.1	Pathogen: clinical or host-associated sample from Yersinia frederiksenii	Illumina HiSeq 4000	Not Applicable	USAMRIID < MIDI < DCC < ATCC	Missing	Missing	human	Not Applicable	FDA:FDAARGOS_417	Homo sapiens	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Phenotypic characterization
Orthomarburgvirus marburgense	IRF0202_MARV_ANGOLA	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus	3052505	ARGOS_000091	v1.6	PRJNA231221	SAMN16357611	FDAARGOS_1166	SRR17262089	GCA_031121245.1	Pathogen: clinical or host-associated sample from Orthomarburgvirus marburgense	Illumina MiSeq	IRF0202_MARV_ANGOLA	NIAID IRF	missing	missing	IRF Isolate	not applicable	FDA:FDAARGOS_1166	IRF strain			Marburg Virus Disease					
Orthomarburgvirus marburgense	IRF0328_MARV_CI67	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Orthomarburgvirus	3052505	ARGOS_000091	v1.6	PRJNA231221	SAMN16357615	FDAARGOS_1170	SRR17261988	GCA_031121995.1	Pathogen: clinical or host-associated sample from Orthomarburgvirus marburgense	Illumina MiSeq	IRF0328_MARV_CI67	NIAID IRF	missing	missing	IRF Isolate	not applicable	FDA:FDAARGOS_1170	IRF strain			Marburg Virus Disease					
Candida parapsilosis	Not applicable	Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Pichiomycetes; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5480	ARGOS_000091	v1.6	PRJNA231221	SAMN11056368	FDAARGOS_653	SRR8984834	GCA_014049495.1	Pathogen: clinical or host-associated sample from Candida parapsilosis	Illumina HiSeq 4000	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_653	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Candida parapsilosis	Not applicable	Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Pichiomycetes; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5480	ARGOS_000091	v1.6	PRJNA231221	SAMN11056368	FDAARGOS_653	SRR8984831	GCA_014049495.1	Pathogen: clinical or host-associated sample from Candida parapsilosis	PacBio RS	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_653	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Candida parapsilosis	Not applicable	Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Pichiomycetes; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5480	ARGOS_000091	v1.6	PRJNA231221	SAMN11056368	FDAARGOS_653	SRR8984833	GCA_014049495.1	Pathogen: clinical or host-associated sample from Candida parapsilosis	PacBio RS	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_653	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Candida parapsilosis	Not applicable	Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Pichiomycetes; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5480	ARGOS_000091	v1.6	PRJNA231221	SAMN11056368	FDAARGOS_653	SRR8984832	GCA_014049495.1	Pathogen: clinical or host-associated sample from Candida parapsilosis	PacBio RS	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_653	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Candida parapsilosis	Not applicable	Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Pichiomycetes; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5480	ARGOS_000091	v1.6	PRJNA231221	SAMN11056366	FDAARGOS_651	SRR8984821	GCA_014049455.1	Pathogen: clinical or host-associated sample from Candida parapsilosis	PacBio RS	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_651	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Candida parapsilosis	Not applicable	Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Pichiomycetes; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5480	ARGOS_000091	v1.6	PRJNA231221	SAMN11056366	FDAARGOS_651	SRR8984822	GCA_014049455.1	Pathogen: clinical or host-associated sample from Candida parapsilosis	PacBio RS	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_651	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Candida parapsilosis	Not applicable	Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Pichiomycetes; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5480	ARGOS_000091	v1.6	PRJNA231221	SAMN11056366	FDAARGOS_651	SRR8984823	GCA_014049455.1	Pathogen: clinical or host-associated sample from Candida parapsilosis	PacBio RS	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_651	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Candida parapsilosis	Not applicable	Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Pichiomycetes; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5480	ARGOS_000091	v1.6	PRJNA231221	SAMN11056366	FDAARGOS_651	SRR8984825	GCA_014049455.1	Pathogen: clinical or host-associated sample from Candida parapsilosis	Illumina HiSeq 4000	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_651	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Candida parapsilosis	Not applicable	Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Pichiomycetes; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5480	ARGOS_000091	v1.6	PRJNA231221	SAMN11056366	FDAARGOS_651	SRR8984824	GCA_014049455.1	Pathogen: clinical or host-associated sample from Candida parapsilosis	Illumina HiSeq 4000	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_651	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Candida parapsilosis	Not applicable	Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Pichiomycetes; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5480	ARGOS_000091	v1.6	PRJNA231221	SAMN11056366	FDAARGOS_651	SRR8984826	GCA_014049455.1	Pathogen: clinical or host-associated sample from Candida parapsilosis	Illumina HiSeq 4000	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_651	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Candida parapsilosis	Not applicable	Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Pichiomycetes; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5480	ARGOS_000091	v1.6	PRJNA231221	SAMN11056365	FDAARGOS_650	SRR8984820	GCA_014049585.1	Pathogen: clinical or host-associated sample from Candida parapsilosis	Illumina HiSeq 4000	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_650	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Candida parapsilosis	Not applicable	Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Pichiomycetes; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5480	ARGOS_000091	v1.6	PRJNA231221	SAMN11056365	FDAARGOS_650	SRR8984817	GCA_014049585.1	Pathogen: clinical or host-associated sample from Candida parapsilosis	PacBio RS	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_650	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Candida parapsilosis	Not applicable	Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Pichiomycetes; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5480	ARGOS_000091	v1.6	PRJNA231221	SAMN11056365	FDAARGOS_650	SRR8984819	GCA_014049585.1	Pathogen: clinical or host-associated sample from Candida parapsilosis	PacBio RS	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_650	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Candida parapsilosis	Not applicable	Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Pichiomycetes; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5480	ARGOS_000091	v1.6	PRJNA231221	SAMN11056365	FDAARGOS_650	SRR8984818	GCA_014049585.1	Pathogen: clinical or host-associated sample from Candida parapsilosis	PacBio RS	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_650	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Yersinia pestis	Not applicable	Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	632	ARGOS_000091	v1.6	PRJNA231221	SAMN10228584	FDAARGOS_604	SRR8283300	GCF_003798085.1	Pathogen: environmental/food/other sample from Yersinia pestis	PacBio RS	Not applicable	USAMRIID<Indonesia	1957	Indonesia: Java	environmental	Not applicable	FDA:FDAARGOS_604	Rat	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Phenotypic and Molecular Methods
