property	data_object	required	id	title	type	default	examples	pattern	description
percent_not_coding	ngsQC.tsv	optional	#root/percent_not_coding	percent_not_coding	string	-	0.16|0.29|0.07|0.07|0.07|0.0|0.07|0.07|0.16|0.16|0.07|0.0|0.09|0.07|0.72|0.16|0.07|0.07|0.16	^([0-9]*\.[0-9]+(\|[0-9]*\.[0-9]+)+)$	-
density_n_per_read	ngsQC.tsv	optional	#root/density_n_per_read	density_n_per_read	string	-	0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|33|100	^([0-9]+(\|[0-9]+)+)$	-
complexity_percent	ngsQC.tsv	optional	#root/complexity_percent	complexity_percent	string	-	94	^[0-9]+$	-
non_complex_percent	ngsQC.tsv	optional	#root/non_complex_percent	non_complex_percent	string	-	6	^[0-9]+$	-
avg_quality_a	ngsQC.tsv	optional	#root/avg_quality_a	avg_quality_a	string	-	32.095	^[0-9]*\.[0-9]+$	-
avg_quality_t	ngsQC.tsv	optional	#root/avg_quality_t	avg_quality_t	string	-	33.988	^[0-9]*\.[0-9]+$	-
avg_quality_g	ngsQC.tsv	optional	#root/avg_quality_g	avg_quality_g	string	-	33.911	^[0-9]*\.[0-9]+$	-
avg_quality_c	ngsQC.tsv	optional	#root/avg_quality_c	avg_quality_c	string	-	34.093	^[0-9]*\.[0-9]+$	-
count_a	ngsQC.tsv	optional	#root/count_a	count_a	string	-	4.43E+08	^[0-9]+$	-
count_c	ngsQC.tsv	optional	#root/count_c	count_c	string	-	5.85E+08	^[0-9]+$	-
count_g	ngsQC.tsv	optional	#root/count_g	count_g	string	-	4.38E+08	^[0-9]+$	-
count_t	ngsQC.tsv	optional	#root/count_t	count_t	string	-	5.24E+08	^[0-9]+$	-
organism_name	assemblyQC.tsv	required	#root/organism_name	organism_name	string	-	Severe_acute_respiratory_syndrome_coronavirus_2	^([a-zA-Z]+(_[a-zA-Z]+)+).*$	-
lineage	assemblyQC.tsv	required	#root/lineage	lineage	string	-	isolate_Wuhan_Hu_1	^([a-zA-Z]+(_[a-zA-Z]+)+).*$	-
genome_assembly_id	assemblyQC.tsv	required	#root/genome_assembly_id	genome_assembly_id	string	-	GCA_009858895.3	^[a-zA-Z]+.*[0-9]+\.\d$	-
sra_run_id	assemblyQC.tsv	required	#root/sra_run_id	sra_run_id	string	-	-	-	-
ngs_read_file_name	assemblyQC.tsv	required	#root/ngs_read_file_name	ngs_read_file_name	string	-	-	-	-
ref_genome_acc	assemblyQC.tsv	required	#root/ref_genome_acc	ref_genome_acc	string	-	-	-	-
taxonomy_id	assemblyQC.tsv	required	#root/taxonomy_id	taxonomy_id	string	-	2697049	^[0-9]+$	-
bco_id	assemblyQC.tsv	required	#root/bco_id	bco_id	string	-	ARGOS_000013	^[a-zA-Z]+_[0-9]+$	-
schema_version	assemblyQC.tsv	required	#root/schema_version	schema_version	string	-	v0.4	^v[0-9]*\.[0-9]+$	-
analysis_platform	assemblyQC.tsv	required	#root/analysis_platform	analysis_platform	string	-	HIVE 1 | HIVE 2 | HIVE AWS | Galaxy	(HIVE 1|HIVE 2|HIVE AWS|Galaxy)	-
analysis_platform_object_id	assemblyQC.tsv	required	#root/analysis_platform_object_id	analysis_platform_object_id	string	-	39658	^[0-9]+$	-
bioproject	assemblyQC.tsv	required	#root/bioproject	bioproject	string	-	-	-	-
biosample	assemblyQC.tsv	required	#root/biosample	biosample	string	-	SAMN13922059	^[a-zA-Z]+[0-9]+$	-
num_chromosomes	assemblyQC.tsv	required	#root/num_chromosomes	num_chromosomes	string	-	12	^[0-9]+$	-
num_genes	assemblyQC.tsv	required	#root/num_genes	num_genes	string	-	-	-	-
num_segments 	assemblyQC.tsv	optional	#root/num_segments 	num_segments 	string	-	-	-	-
id_method	assemblyQC.tsv	optional	#root/id_method	id_method	string	-	-	^.*$	-
number_of_n_or_x	assemblyQC.tsv	required	#root/number_of_n_or_x	number_of_n_or_x	string	-	-	^.*$	-
n50	assemblyQC.tsv	required	#root/n50	n50	string	-	-	^.*$	-
l50	assemblyQC.tsv	required	#root/l50	l50	string	-	-	^.*$	-
assembly_gc_content	assemblyQC.tsv	required	#root/assembly_gc_content	assembly_gc_content	string	-	29,903	^[0-9]+$	-
length	assemblyQC.tsv	optional	#root/length	length	string	-	-	^.*$	-
avg_nuc_identity	assemblyQC.tsv	optional	#root/avg_nuc_identity	avg_nuc_identity	string	-	-	^.*$	-
percent_assembly_greater_20x	assemblyQC.tsv	optional	#root/percent_assembly_greater_20x	percent_assembly_greater_20x	string	-	100	^[0-9]+$	-
query_coverage_against_reference	assemblyQC.tsv	optional	#root/query_coverage_against_reference	query_coverage_against_reference	string	-	100	^[0-9]+$	-
percent_identity_against_reference	assemblyQC.tsv	optional	#root/percent_identity_against_reference	percent_identity_against_reference	string	-	-	^.*$	-
n95	assemblyQC.tsv	optional	#root/n95	n95	string	-	-	^.*$	-
l95	assemblyQC.tsv	optional	#root/l95	l95	string	-	-	^.*$	-
reads_unaligned	assemblyQC.tsv	required	#root/reads_unaligned	reads_unaligned	string	-	-	^.*$	-
phred_average	assemblyQC.tsv	required	#root/phred_average	phred_average	string	-	-	^.*$	-
assembly_type	assemblyQC.tsv	optional	#root/assembly_type	assembly_type	string	-	-	^.*$	-
assembly_level	assemblyQC.tsv	optional	#root/assembly_level	assembly_level	string	-	-	^.*$	-
assembly_score	assemblyQC.tsv	required	#root/assembly_score	assembly_score	string	-	-	^.*$	-
organism_name	siteQC.tsv	required	#root/organism_name	organism_name	string	-	Salmonella_enterica	^[a-zA-Z]+_[a-zA-Z]+$	-
lineage	siteQC.tsv	required	#root/lineage	lineage	string	-	strain_LT2	^[a-zA-Z]+_[a-zA-Z]+[0-9]+$	-
genome_assembly_id	siteQC.tsv	required	#root/genome_assembly_id	genome_assembly_id	string	-	GCA_001558355.2	^[a-zA-Z]+.*[0-9]+\.\d$	-
taxonomy_id	siteQC.tsv	required	#root/taxonomy_id	taxonomy_id	string	-	2697049	^[0-9]+$	-
biosample	siteQC.tsv	required	#root/biosample	biosample	string	-	SAMN13922059	^[a-zA-Z]+[0-9]+$	-
ngs_read_file_source	siteQC.tsv	required	#root/ngs_read_file_source	ngs_read_file_source	string	-	-	-	-
ngs_read_file_name	siteQC.tsv	required	#root/ngs_read_file_name	ngs_read_file_name	string	-	-	-	-
ref_genome_acc	siteQC.tsv	required	#root/ref_genome_acc	ref_genome_acc	string	-	-	-	-
molecule	siteQC.tsv	required	#root/molecule	molecule	string	-	-	-	-
bco_id	siteQC.tsv	required	#root/bco_id	bco_id	string	-	ARGOS_000012	^[a-zA-Z]+_[0-9]+$	-
schema_version	siteQC.tsv	required	#root/schema_version	schema_version	string	-	v0.4	^v[0-9]*\.[0-9]+$	-
analysis_platform	siteQC.tsv	required	#root/analysis_platform	analysis_platform	string	-	HIVE 1 | HIVE 2 | HIVE AWS | Galaxy	(HIVE 1|HIVE 2|HIVE AWS|Galaxy)	-
analysis_platform_object_id	siteQC.tsv	required	#root/analysis_platform_object_id	analysis_platform_object_id	string	-	39658	^[0-9]+$	-
genomic_coordinate_start	siteQC.tsv	optional	#root/genomic_coordinate_start	genomic_coordinate_start	string	-	chr1:1234570-1234870	^[a-zA-Z]+[0-9]+:[0-9]+-[0-9]+$	-
genomic_coordinates_end	siteQC.tsv	optional	#root/genomic_coordinates_end	genomic_coordinates_end	string	-	-	^[a-zA-Z]+[0-9]+:[0-9]+-[0-9]+$	-
protein_coordinates_start	siteQC.tsv	optional	#root/protein_coordinates_start	protein_coordinates_start	string	-	-	^.*$	-
protein_coordinates_end	siteQC.tsv	optional	#root/protein_coordinates_end	protein_coordinates_end	string	-	-	^.*$	-
source	siteQC.tsv	optional	#root/source	source	string	-	-	^([a-zA-Z]+( [a-zA-Z]+)+)$	-
seq_feature_tag	siteQC.tsv	optional	#root/seq_feature_tag	seq_feature_tag	string	-	-	^.*$	-
seq_feature_value	siteQC.tsv	optional	#root/seq_feature_value	seq_feature_value	string	-	-	^.*$	-
source_database	siteQC.tsv	optional	#root/source_database	source_database	string	-	-	^([a-zA-Z]+( [a-zA-Z]+)+)$	-
wt_nucleotide	siteQC.tsv	required	#root/wt_nucleotide	wt_nucleotide	string	-	-	-	-
alt_nucleotide	siteQC.tsv	required	#root/alt_nucleotide	alt_nucleotide	string	-	-	-	-
wt_codon	siteQC.tsv	required	#root/wt_codon	wt_codon	string	-	-	-	-
alt_codon	siteQC.tsv	required	#root/alt_codon	alt_codon	string	-	-	-	-
wt_amino_acid	siteQC.tsv	required	#root/wt_amino_acid	wt_amino_acid	string	-	-	-	-
alt_amino_acid	siteQC.tsv	required	#root/alt_amino_acid	alt_amino_acid	string	-	-	-	-
molecule	siteQC.tsv	required	#root/molecule	molecule	string	-	-	-	-
annotation	siteQC.tsv	required	#root/annotation	annotation	string	-	-	-	-
read_coverage	siteQC.tsv	required	#root/read_coverage	read_coverage	string	-	-	-	-
frequency	siteQC.tsv	required	#root/frequency	frequency	string	-	-	-	-
codon_reference	siteQC.tsv	required	#root/codon_reference	codon_reference	string	-	-	-	-
protein_accession	siteQC.tsv	required	#root/protein_accession	protein_accession	string	-	-	-	-
count_major_mutations	siteQC.tsv	required	#root/count_major_mutations	count_major_mutations	string	-	-	-	-
count_major_indels	siteQC.tsv	required	#root/count_major_indels	count_major_indels	string	-	-	-	-
organism_name	biosampleMeta.tsv	required	#root/organism_name	organism_name	string	-	Severe_acute_respiratory_syndrome_coronavirus_2	^([a-zA-Z]+(_[a-zA-Z]+)+).*$	-
lineage	biosampleMeta.tsv	required	#root/lineage	lineage	string	-	isolate_Wuhan_Hu_1	^([a-zA-Z]+(_[a-zA-Z]+)+).*$	-
genome_assembly_id	biosampleMeta.tsv	optional	#root/genome_assembly_id	genome_assembly_id	string	-	GCA_009858895.3	^[a-zA-Z]+_[0-9]*\.[0-9]+$	-
taxonomy_id	biosampleMeta.tsv	required	#root/taxonomy_id	taxonomy_id	string	-	433733	^[0-9]+$	-
bco_id	biosampleMeta.tsv	required	#root/bco_id	bco_id	string	-	ARGOS_000012/1.0	^[a-zA-Z]+[0-9]+$	-
schema_version	biosampleMeta.tsv	required	#root/schema_version	schema_version	string	-	v0.4	^v[0-9]*\.[0-9]+$	-
bioproject	biosampleMeta.tsv	required	#root/bioproject	bioproject	string	-	-	-	-
biosample	biosampleMeta.tsv	required	#root/biosample	biosample	string	-	SAMN13922059	^[a-zA-Z]+[0-9]+$	-
sra_run_id	biosampleMeta.tsv	required	#root/sra_run_id	sra_run_id	string	-	-	^.*$	-
instrument	biosampleMeta.tsv	required	#root/instrument	instrument	string	-	Illumina MiniSeq	^([a-zA-Z]+( [a-zA-Z]+)+)$	-
strain	biosampleMeta.tsv	required	#root/strain	strain	string	-	isolate_Wuhan_Hu_1	^([a-zA-Z]+(_[a-zA-Z]+)+).*$	-
sample_name	biosampleMeta.tsv	required	#root/sample_name	sample_name	string	-	human bronchoalveolar lavage fluid	^([a-zA-Z]+( [a-zA-Z]+)+)$	-
isolate	biosampleMeta.tsv	optional	#root/isolate	isolate	string	-	-	^.*$	-
collected_by	biosampleMeta.tsv	optional	#root/collected_by	collected_by	string	-	Fudan University	^([a-zA-Z]+( [a-zA-Z]+)+)$	-
collection_date	biosampleMeta.tsv	optional	#root/collection_date	collection_date	string	-	1/2/20	^[0-9]+/[0-9]+/[0-9]+$	-
geo_loc_name	biosampleMeta.tsv	optional	#root/geo_loc_name	geo_loc_name	string	-	China: Wuhan	^[a-zA-Z]+/\s[a-zA-Z]+$	-
isolation_source	biosampleMeta.tsv	optional	#root/isolation_source	isolation_source	string	-	human lung metagenome	^([a-zA-Z]+( [a-zA-Z]+)+)$	-
lat_lon	biosampleMeta.tsv	optional	#root/lat_lon	lat_lon	string	-	-	^.*$	-
culture_collection	biosampleMeta.tsv	optional	#root/culture_collection	culture_collection	string	-	-	^.*$	-
host	biosampleMeta.tsv	optional	#root/host	host	string	-	9606	^[0-9]+$	-
host_age	biosampleMeta.tsv	optional	#root/host_age	host_age	string	-	-	^.*$	-
host_description	biosampleMeta.tsv	optional	#root/host_description	host_description	string	-	-	^.*$	-
host_disease	biosampleMeta.tsv	optional	#root/host_disease	host_disease	string	-	-	^.*$	-
host_disease_outcome	biosampleMeta.tsv	optional	#root/host_disease_outcome	host_disease_outcome	string	-	-	^.*$	-
host_disease_stage	biosampleMeta.tsv	optional	#root/host_disease_stage	host_disease_stage	string	-	-	^.*$	-
host_health_state	biosampleMeta.tsv	optional	#root/host_health_state	host_health_state	string	-	-	^.*$	-
host_sex	biosampleMeta.tsv	optional	#root/host_sex	host_sex	string	-	-	^.*$	-
id_method	biosampleMeta.tsv	optional	#root/identification_method	identification_method	string	-	-	^.*$	-
